title,link,number_of_citation,article_type,publisher,keyword,abstract,publish_date,publication_title,authors,affiliations,countries
Fuzzy-Logic Based Distributed Energy-Efficient Clustering Algorithm for Wireless Sensor Networks,https://doi.org/10.3390/s24206502,none,Article,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
Development of ICT for Leaching Monitoring in Taiwan Agricultural LTER Stations,https://doi.org/10.3390/s24206502,none,Article,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
Data Aggregation Based on Overlapping Rate of Sensing Area in Wireless Sensor Networks,https://doi.org/10.3390/s24206502,none,Article,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
An Energy-Efficient Routing Algorithm in Three-Dimensional Underwater Sensor Networks Based on Compressed Sensing,https://doi.org/10.3390/s24206502,none,Article,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
A Spawn Mobile Agent Itinerary Planning Approach for Energy-Efficient Data Gathering in Wireless Sensor Networks,https://doi.org/10.3390/s24206502,none,Article,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
Design and Implementation of Low-Power Analog-to-Information Conversion for Environmental Information Perception,https://doi.org/10.3390/s24206502,none,Article,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
Adaptive Data Aggregation and Compression to Improve Energy Utilization in Solar-Powered Wireless Sensor Networks,https://doi.org/10.3390/s24206502,none,Article,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
Assessing Environmental Impact Indicators in Road Construction Projects in Developing Countries,https://doi.org/10.3390/s24206502,none,Article,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
A Survey on an Energy-Efficient and Energy-Balanced Routing Protocol for Wireless Sensor Networks,https://doi.org/10.3390/s24206502,none,Article,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
Alternative Path Communication in Wide-Scale Cluster-Tree Wireless Sensor Networks Using Inactive Periods,https://doi.org/10.3390/s24206502,none,Article,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
