title,link,number_of_citation,article_type,publisher,keyword,abstract,publish_date,publication_title,authors,affiliations,countries
Erratum to: Impact of the energy-based and location-based LEACH secondary cluster aggregation on WSN lifetime,https://link.springer.com/article/10.1007/s11276-017-1562-6,none,article,Springer,none,"In the original publication, Equation 4.1 and the value of initial energy in Table 11 were wrongly published. The above-mentioned errors are corrected with this erratum.

1.
In Equation 4.1, the correct expression as used in the simulations is given below:$$ E_{TX} = \left\{ {\begin{array}{*{20}l} {l \times E_{elec} + l \times \varepsilon_{fs} \times d^{2} } \hfill & {when\,\,d \le d_{0} } \hfill \\ {l \times E_{elec} + l \times \varepsilon_{mp} \times d^{4} } \hfill & {when\,\,d > d_{0} } \hfill \\ \end{array} } \right. $$
                    (4.1)
                


2.
For Table 11, the initial energy is 0.5 J as shown in Section 4.3, line 2.



",08 August 2017,Wireless Networks,"Oluwatosin Ahmed Amodu,Raja Azlina Raja Mahmood","(Department of Communication Technology and Network,Faculty of Computer Science and Information Technology,Universiti Putra Malaysia,43400 UPM,Serdang,Selangor Darul Ehsan,Malaysia)",Malaysia
EE-LEACH: development of energy-efficient LEACH Protocol for data gathering in WSN,https://link.springer.com/article/10.1186/s13638-015-0306-5,127,article,Springer,"Clustering,Cluster head,Energy-efficient routing,Low energy adaptive clustering hierarchy (LEACH),Wireless sensor networks","A wireless sensor network (WSN) consists of a huge number of sensor nodes that are inadequate in energy, storage and processing power. One of the major tasks of the sensor nodes is the collection of data and forwarding the gathered data to the base station (BS). Hence, the network lifetime becomes the major criteria for effective design of the data gathering schemes in WSN. In this paper, an energy-efficient LEACH (EE-LEACH) Protocol for data gathering is introduced. It offers an energy-efficient routing in WSN based on the effective data ensemble and optimal clustering. In this system, a cluster head is elected for each clusters to minimize the energy dissipation of the sensor nodes and to optimize the resource utilization. The energy-efficient routing can be obtained by nodes which have the maximum residual energy. Hence, the highest residual energy nodes are selected to forward the data to BS. It helps to provide better packet delivery ratio with lesser energy utilization. The experimental results shows that the proposed EE-LEACH yields better performance than the existing energy-balanced routing protocol (EBRP) and LEACH Protocol in terms of better packet delivery ratio, lesser end-to-end delay and energy consumption. It is obviously proves that the proposed EE-LEACH can improve the network lifetime.",20 March 2015,EURASIP Journal on Wireless Communications and Networking,"Gopi Saminathan Arumugam,Thirumurugan Ponnuchamy","(Department of Electronics and Communication Engineering,SSMIET,Dindigul,624002,India),(Department of Electronics and Communication Engineering,PSNA College of Engineering and Technology,Dindigul,624622,India)","India,India"
EE-LEACH: Energy Enhancement in LEACH using Fuzzy Logic for Homogeneous WSN,https://link.springer.com/article/10.1007/s11277-021-08598-7,27,article,Springer,"WSN,Energy efficiency,Clustering,Cluster head,Network lifetime","The energy saving of wireless sensor nodes, which are organize in an unfriendly environment, is a paramount challenge for the design of wireless sensor networks (WSNs). WSN have a lot of design issues in which hotspots problem is one of them. Hotspot problems occur when the cluster head (CH) near the BS can die prematurely due to uneven energy shortages resulting in the partitioning of the network. To deal with the issue of hotspots or energy holes, balanced energy dissipation is demonstrated in wireless sensor networks. The main goal of this proposed protocol is to prolong the lifespan of wireless sensor networks, and balance the load of a network in terms of equal energy dissipation. CH selection and cluster formation are discussed in proposed protocol. CH select via rank using fuzzy inference systems following cluster formation in WSN. The performance of the proposed protocol EE-LEACH is evaluated for network lifespan, number of packets delivered, and stability period with existing protocol SCHFTL and DFCR. Experimental results show that the proposed protocol EE-LEACH performs significantly better than existing protocol.",25 May 2021,Wireless Personal Communications,"Anshu Kumar Dwivedi,Awadhesh Kumar Sharma","(Department of CSE,Madan Mohan Malaviya University of Technology,Gorakhpur,India)",India
Energy optimized micro genetic algorithm based LEACH protocol for WSN,https://link.springer.com/article/10.1007/s11276-020-02435-8,64,article,Springer,"Genetic algorithm,Wireless sensor network,LEACH,Energy efficiency,Network lifetime","This article presents the design, analyses and implementation of the novel routing protocol for energy optimization based on LEACH for WSN. Network Lifetime is the major problem in various routing protocols used in WSN. In order to overcome that problem, our proposed routing protocol is developed, which is a combination of Micro Genetic algorithm with LEACH protocol. Our proposed µGA-LEACH protocol, strengthen the cluster head (CH) selection and also reduce the energy consumption of the network when compared to existing protocols. This paper shows the improvement of network lifetime and energy consumption with the optimal CH selection based on a micro genetic algorithm and also compared the results with an existing hierarchical routing protocol like LEACH, LEACH-C, LEACH GA and GADA LEACH routing protocol with various packet sizes, and initial energy.",01 August 2020,Wireless Networks,"M. Radhika,P. Sivakumar","(Department of Information and Communication Engineering,Anna University,Chennai,Tamilnadu,India),(Department of ECE,Dr. N.G.P Institute of Technology,Coimbatore,Tamilnadu,India)","India,India"
An energy efficient routing protocol for correlated data using CL-LEACH in WSN,https://link.springer.com/article/10.1007/s11276-015-1063-4,62,article,Springer,"Cross layer optimization,Energy management,Energy efficient approaches,Wireless sensor network","Energy efficiency is an important parameter in the research area related to the design of routing protocols for Wireless Sensor Networks (WSNs). The consumption of energy during transmission and processing of data is more which makes the sensor network to erroneous state. In WSN, Low Energy Adaptive Clustering Hierarchy (LEACH) is a popular hierarchical routing protocol, which is responsible for energy storage in nodes. The residual energy and distance between the base station and node are not considered for selection of cluster head in traditional methods. This paper proposes a Cross Layer-Low Energy Adaptive Clustering Hierarchy model (CL-LEACH), an efficient routing protocol to increase the lifetime of the battery. CL-LEACH considers residual energy and for cluster head selection and provides an energy efficient transmission schemes for WSN. The cross-layer design delivers adaptive modulation by abusing intersegment dependencies across Medium Access Control, Physical, and Application layers. Moreover, CL-LEACH utilizes the remaining energy of the node for cluster head selection which preserves the overall energy. The proposed method provides better results in terms of number of live nodes, energy dissipation, message cost when compared to the traditional LEACH protocol.
",29 September 2015,Wireless Networks,"Preetha Marappan,Paul Rodrigues","(S.A. Engineering College,Anna University,Chennai,Tamil Nadu,600077,India),(DMI College of Engineering,Chennai,Tamil Nadu,India)","India,India"
Impact of the energy-based and location-based LEACH secondary cluster aggregation on WSN lifetime,https://link.springer.com/article/10.1007/s11276-016-1414-9,34,article,Springer,"Energy-efficient,Network lifetime,FLEACH,Wireless sensor networks,Energy aware protocols,Classification of protocols,Survey","The improvement of sensor networks’ lifetime has been a major research challenge in recent years. This is because sensor nodes are battery powered and may be difficult to replace when deployed. Low energy adaptive clustering hierarchical (LEACH) routing protocol was proposed to prolong sensor nodes lifetime by dividing the network into clusters. In each cluster, a cluster head (CH) node receives and aggregates data from other nodes. However, CH nodes in LEACH are randomly elected which leads to a rapid loss of network energy. This energy loss occurs when the CH has a low energy level or when it is far from the BS. LEACH with two level cluster head (LEACH-TLCH) protocol deploys a secondary cluster head (2CH) to relieve the cluster head burden in these circumstances. However, in LEACH-TLCH the optimal distance of CH to base station (BS), and the choicest CH energy level for the 2CH to be deployed for achieving an optimal network lifetime was not considered. After a survey of related literature, we improved on LEACH-TLCH by investigating the conditions set to deploy the 2CH for an optimal network lifetime. Experiments were conducted to indicate how the 2CH impacts on the network at different CH energy levels and (or) CH distance to BS. This, is referred to as factor-based LEACH (FLEACH). Investigations in FLEACH show that as CHs gets farther from the BS, the use of a 2CH extends the network lifetime. Similarly, an increased lifetime also results as the CH energy decreases when the 2CH is deployed. We further propose FLEACH-E which uses a deterministic CH selection with the deployment of 2CH from the outset of network operation. Results show an improved performance over existing state-of-the-art homogeneous routing protocols.",23 November 2016,Wireless Networks,"Oluwatosin Ahmed Amodu,Raja Azlina Raja Mahmood","(Department of Communication Technology and Network,Faculty of Computer Science and Information Technology,Universiti Putra Malaysia,43400 UPM,Serdang,Selangor Darul Ehsan,Malaysia)",Malaysia
A new routing protocol for WSN using limit-based Jaya sail fish optimization-based multi-objective LEACH protocol: an energy-efficient clustering strategy,https://link.springer.com/article/10.1007/s11276-022-02963-5,9,article,Springer,"Wireless sensor network,Limit-based Jaya sail fish optimization,Multi-objective low-energy adaptive clustering hierarchy protocol,Quality of service,Optimal CH selection","Clustering sensor nodes is an efficient approach of modeling the routing algorithms for the Wireless Sensor Networks (WSNs) that enhance the energy efficiency and network lifetime. The cluster heads (CHs) present in the clustered WSNs represent the key nodes. Since they accomplish several tasks, more energy is being consumed. Hence, it remains a significant conflict for choosing the optimal CHs. Most of the WSN routing protocol's labels particular conflicts with the “Low-Energy Adaptive Clustering Hierarchy” (LEACH) protocol. The challenge for the WSN protocols is to maintain high scalability and expand the lifespan of the network. The major challenge in enhancing the WSNs is energy efficiency. Since communication occupies many portions of the energy consumption, and efficient solution to handle this problem is effective routing. The main intention of this paper is to develop the energy-efficient routing for WSN using a hybrid meta-heuristic-based LEACH protocol. Here, the optimal CH selection is accomplished by the hybrid meta-heuristic algorithm with Sail Fish Optimization (SFO) and Jaya Algorithm (JA), and the so formed algorithm is called Limit-based Jaya Sail Fish Optimization (L-JSFO). A Multi-objective function is considered with significant constraints like “energy, distance, delay, trusts of nodes, load, and Quality of Service (QoS)”. Finally, this paper compares the proposed meta-heuristic-based LEACH protocol against other WSN routing protocols. The simulation outcomes described that the proposed protocol exceeded the benchmarked protocols in terms of energy efficiency and load balancing, and proves the enhanced network lifetime.",16 April 2022,Wireless Networks,"M. K. Nagarajan,N. Janakiraman,C. Balasubramanian","(Department of Computer Science and Engineering,Kalasalingam Institute of Technology,Anand Nagar,Krishnan koil,Tamil Nadu,626 126,India),(Department of Electronics and Communication Engineering,K.L.N. College of Engineering,Pottapalayam,Tamil Nadu,630612,India),(Department of Computer Science and Engineering,P.S.R. Engineering College,Sevalpatti,Tamil Nadu,626140,India)","India,India,India"
ACS LEACH protocol using optimized clustering and improved orthogonal matching pursuit in WSN,https://link.springer.com/article/10.1007/s41870-021-00791-y,8,article,Springer,"WSN,Compressive sensing,Clustered topology,LEACH,Optimal cluster size,Classical Fourier transform,Adaptive orthogonal matching pursuit","An energy-efficient data gathering method for resource-constrained Wireless Sensor Networks (WSNs) is Compressive Sensing (CS). CS promises the construction of a meaningful sparse data matrix from the generated data packets in WSNs and recovers all data from the sparse data matrix at the sink node. Recent works incorporate the CS method with cluster-based algorithms to improve the power-saving capability of the CS algorithm. This paper proposes an Adaptive Compressed Sensing (ACS) to overcome the drawbacks of hybrid CS. The ACS decides an optimal size of clusters and considers the relation between the number of measurement M and the number of nodes. Moreover, the data aggregation process exploits the classical Fourier transform for attaining good stability with low computational complexity. Finally, an adaptive data recovery technique to clustered WSNs is used to improving the orthogonal matching pursuit. The ACS-LEACH is evaluated and compared with the existing schemes using NS2 to prove its superiority in WSNs. From the simulation results, the throughput of ACS-LEACH is 0.018 bits/s in 90 node topology, and in the same scenario, the LEACH-CS and IHCS stand only for 0.012 and 0.0011 bits/s, respectively.",24 September 2021,International Journal of Information Technology,"Nandini S. Patil,Asma Parveen","(K. B. N. College of Engineering,Kalaburagi,Karnataka,India)",India
A Survey on WSN Issues with its Heuristics and Meta-Heuristics Solutions,https://link.springer.com/article/10.1007/s11277-021-08659-x,34,article,Springer,"Multi-objective optimization (MOO),Issues trade-off,Wireless sensor networks (WSN’s),Pareto-optimal solution,Hierarchical routing,QoS,Clustering algorithms,Heterogeneous network","A wireless sensor networks (WSN’s) has stimulated significant research work among the researchers in monitoring and tracking tasks. It’s a quite challenging task that needs to cope up with various conflicting issues such as energy efficiency, network lifetime, connectivity, coverage, etc. in WSN’s for designing various applications. This paper explores the recent work and efforts done in addressing the various issues in WSN’s. This paper focused on basic concepts regarding the WSN’s and discusses meta-heuristics and heuristics algorithms for solving these issues with recent investigations. Various optimization algorithms in the context of WSN, routing algorithms, and clustering algorithms were discussed with details of earlier work done. This paper delivers various Multi-Objective Optimization approaches deeply for solving issues and summarizes the recent research work and studies. It provides researchers an understanding of the various issues, trade-offs between them, and meta-heuristics and heuristics approach for solving these issues. A glimpse of open research challenges has also been provided which will be helpful for researchers. This paper also gives an insight into various issues, open challenges that still exist in WSN’s with their heuristics and meta-heuristics solutions and also focuses on various conflicting issues as well.",29 June 2021,Wireless Personal Communications,"Ankita Srivastava,Pramod Kumar Mishra","(Department of Computer Science,Institute of Science,Banaras Hindu University,Varanasi,India)",India
K-LionER: meta-heuristic approach for energy efficient cluster based routing for WSN-assisted IoT networks,https://link.springer.com/article/10.1007/s10586-024-04280-2,3,article,Springer,"Internet-of-things,WSN,Clustering,CH selection,Meta-heuristics,K-means","In Internet of Things (IoT), WSNs are crucial components because they sense, acquire data and communicate with the base station. Because IoT connects devices with scarce resources, the energy needed for communication is viewed as one of the most challenging issues facing WSN assisted IoT. Clustering techniques have the potential to conserve energy and keep network nodes running for longer periods of time. Traditional hierarchical routing protocols are based on a random probability equation for cluster head (CH) selection. Moreover, there is scope to enhance the network lifespan by improving the CH selection approach. To address this, we present the hybrid K-means ant Lion optimization approach for Energy-efficient clustering based Routing (K-LionER) scheme for WSN supported by the IoT. The proposed K-LionER focuses on prolonging the network lifespan and improving energy efficiency. The clusters in WSN under investigation are created using K-means and each CH is chosen using ant lion optimization. CHs acquire the data from cluster members and transmit the agglomerated data to the base station. K-LionER selects the CH based on routing metrics, Remnant Energy (RE), distance between the CHs and Base station (CBD) and Intra-cluster Communication Cost (ICC). A comprehensive simulation is carried out on MATLAB 2017a. K-LionER’s accomplishment is contrasted with LEACH, ECFU and GADA-LEACH. The simulation’s outcome reveals gains in performance in various aspects, such as alive nodes, stability period, dead nodes and network lifetime metrics. In comparison to the aforementioned routing protocols, the proposed K-LionER protocol improves the network’s lifetime by 10% to 48%.",05 March 2024,Cluster Computing," Rekha,Ritu Garg","(Department of Computer Engineering,National Institute of Technology,Kurukshetra,136119,Haryana,India)",India
