title,link,number_of_citation,article_type,publisher,keyword,abstract,publish_date,publication_title,authors,affiliations,countries
Efficient Energy Attentive and Fault Recognition Mechanism in Distributed Wireless Sensor Networks: A Review,https://link.springer.com/chapter/10.1007/978-3-030-16657-1_101,none,conference,Springer,none,"A recent modernization in wireless sensor networks (WSNs) has played a remarkable role to track and control the physical world. This technology is exhilarating with countless potential for many enormous applications like biomedical, industry, defence and so on. Despite of their benefits, design of energy attentive and fault recognition steering protocol is a key challenge. Plenty of research works has been proposed in past by many researchers based on multipath, query and location aware sensor network. However still there is a scope for enhancement in the performance of sensor network by finding efficient energy aware solution. Comprehensive analysis of existing methodologies in view of two challenges, energy management and fault recognition mechanism for scalable network is the main objective of this paper. This broad survey helps researchers to aware about technical concern and challenges in energy efficient fault recognition mechanism for WSNs.",12 April 2019,Intelligent Systems Design and Applications,"Roshani Talmale,M. Nirupama Bhat,Nita Thakare","(Vignan’s University,Deemed to be University,Vadalamudi,India),(Priyadarshini College of Engineering,Nagpur,India)","India,India"
Plus-Tree: A Routing Protocol for Wireless Sensor Networks,https://link.springer.com/chapter/10.1007/978-3-540-77368-9_62,8,conference,Springer,none,"We study tree-based routing protocols for wireless sensor networks. The existing tree-based algorithm has a few shortcomings; (1) it may take a long path since sensor node must transmit packets via either its parent or its children nodes and (2) it is vulnerable to a link failure since the tree has to be reconstructed in case of a single link failure. We propose Plus-Tree, a routing protocol, which overcomes the shortcomings and improves the performance of the existing protocol. A node in Plus-Tree may have neighbor links other than tree links that can be used for alternative path. Simulation results show that Plus-Tree performs better than the existing tree-based protocol with respect to hop counts.",2007,Advances in Hybrid Information Technology,"Yongsuk Park,Eun-Sun Jung","(Networking Technology Laboratory,Samsung Advanced Institute of Technology, )",
A Power Balance Control Strategy of Wireless Sensor Network with Collaborating Heuristic,https://link.springer.com/chapter/10.1007/978-981-33-6757-9_42,none,conference,Springer,none,"In order to effort a strong enough signal, nodes in wireless sensor networks (WSN) have to increase their transmission power that continues to maintain the transmission power. However, a vicious circle is iterated that causes a decline in the overall network performance, low utility, and network life cycle shorten. This paper presents a solution to the power balance control strategy for WSN with collaborating heuristic. A distance between the weight factors and obtained nodes interference value is used to establish a useful interference model for enhancing the signal-to-interference-noise ratio (SINR). The utility function of the nodes residual energy and transmission rate is modeled by apply heuristic strategy. The optimal transmission power is obtained after several iterations of the heuristic algorithm. Simulation results show that the proposed approach can prolong the network life cycle and achieve higher network utility.",21 April 2021,Advances in Intelligent Information Hiding and Multimedia Signal Processing,"Jie Yu,Thi-Kien Dao,Trong-The Nguyen,Truong-Giang Ngo,Trong-The Nguyen","(College of Mechanical and Automotive Engineering,Fujian University of Technology,Fuzhou,350118,China),(Fujian Provincial Key Laboratory of Big Data Mining and Applications,Fujian University of Technology,Fuzhou,China),(Faculty of Computer Science and Engineering,Thuyloi University,175 Tay Son,Dong Da,Hanoi,Vietnam),(Department of Information Technology,Haiphong University of Management and Technology,Haiphong,18000,Vietnam)","China,China"
Wireless Sensor Networks Based on Bio-Inspired Algorithms,https://link.springer.com/chapter/10.1007/978-3-319-95162-1_52,1,conference,Springer,none,"The goal of bio-inspired is to resolve human problems by studying and mimicking the characteristics of organisms or design elements which can be found in nature. Wireless sensor networks are used in a variety of fields but have limited network lifespans, so various research is being performed on the subject. In particular, research is being performed on observing and modeling the behavioral principles of various organisms to use in bio-inspired algorithms for efficient routing techniques in large-scale networks. In this research, we studied the pheromones used in ant communication and designed the techniques for energy efficiency improvement and traffic distribution by applying them to the proposed network. We designed biomimicry technology called the Wireless Sensor Networks Based on Bio-inspired Algorithms, and by analyzing and applying the similarities between communication systems and biological systems, our system was able to show improved performance in terms of extended network lifespan, optimized path selection, etc. In simulation results, the proposed routing algorithm has a short information collection time and low energy consumption, and through this it is able to maximize network energy efficiency.",04 July 2018,Computational Science and Its Applications – ICCSA 2018,"Meonghun Lee,Haengkon Kim,Hyun Yoe","(Department of Agricultural Engineering,NAAS,Jeonbuk,55365,Republic of Korea),(School of Information Technology Engineering,Catholic University of Daegu,Gyeongbuk,38430,Republic of Korea),(Department of Information and Communication Engineering,Sunchon National University,Jeonnam,57922,Republic of Korea)",
Degree of Proximity: A Novel Network Parameter to Maximize Lifetime of Wireless Sensor Networks Through Optimized Node Deployment,https://link.springer.com/chapter/10.1007/978-981-16-4369-9_40,none,conference,Springer,none,"Lifetime maximization of wireless sensor networks is a very prominent research topic. Different energy-efficient protocols have been proposed over the years for maximizing network lifetime. However, proposing an energy-efficient routing protocol alone is not enough to ensure prolonged lifetime of the network. Certain network parameters that can regulate energy consumption of a network too are required to be exploited for the purpose. Here, a novel network parameter called degree of proximity (DoP) has been proposed, and an optimum value of DoP was found, whereby one can maximize network lifetime with deployment of optimum number of nodes. This way, running cost of the network can be amortized. For the present work, we have considered both two- and three-dimensional wireless sensor networks where grid deployment of the nodes has been done.",07 December 2021,Advanced Computational Paradigms and Hybrid Intelligent Computing,"Kaushik Ghosh,Amitava Choudhury","(UPES,Dehradun,India)",India
Baud Rate-Based Hierarchical Multihop Routing Protocol for WSNs,https://link.springer.com/chapter/10.1007/978-981-15-2926-9_52,1,conference,Springer,none,"In wireless sensor networks (WSNs), the data sensed by the sensor node are forwarded to the sink node either by direct communication or by multihop communication. The disadvantage of direct communication is that the sensor nodes consume more energy to reach the sink node as each sensor node has to work alone to reach the sink node, and if the sink node is too far, condition gets worsens. Contrary to direct communication, the multihop communication saves energy as it forwards the data to the nearest neighbor node which in turn forwards the data toward the sink node. In multihop communication, choosing the best neighbor node for forwarding the data is the most challenging task. Hence, in this article, a novel hierarchical multihop routing protocol for WSNs referred to as “Baud Rate-Based Hierarchical Multihop Routing Protocol for WSNs” has been proposed which uses Shannon channel capacity model ‘C’ and neighbor node distance to choose the best neighbor node; the chosen neighbor node will be capable of transmitting data with high baud rate, thereby increasing the throughput of the network. Further, the proposed model also increases the lifetime of the network as the nearest neighbor node will be chosen for the data transfer which saves the energy of the sensor node. The proposed algorithm is compared against the LEACH routing protocol and multihop LEACH protocol and is implemented in MATLAB. The quantitative and qualitative analysis of the simulation results depicts that the proposed algorithm performs better against the parameters remaining energy of the sensor nodes, network lifetime, and data throughput when compared to LEACH and multihop LEACH protocols.
",29 April 2020,Optical and Wireless Technologies,"G. V. Sowmya,M. Kiran","(Jawaharlal Nehru National College of Engineering,Shimoga,Karnataka,India),(National Institute of Technology Karnataka,Suratkal,Mangalore,India)","India,India"
Hybrid Metaheuristic Algorithm-Based Clustering with Multi-Hop Routing Protocol for Wireless Sensor Networks,https://link.springer.com/chapter/10.1007/978-981-16-6285-0_65,3,conference,Springer,none,"Advancements in sensing and communication technologies resulted to the design of wireless sensor network (WSN) for low-cost distributed monitoring systems. Energy dissipation is a major problem in WSN. Clustering and routing are the familiar energy-efficient techniques offering several merits such as energy efficiency, network longevity, scalability, and less latency. Appropriate cluster heads (CHs) and optimal route selection processes can be assumed as the NP hard optimization problem and can be resolved by the use of metaheuristic algorithms. This paper presents a hybrid metaheuristic algorithm-based clustering with multi-hop routing (HMA-CMHR) protocol for WSN. The presented model incorporates different phases such as node initialization, clustering, routing, and data transmission. Firstly, the HMA-CMHR technique uses quantum harmony search algorithm (QHSA) based clustering process to elect an optimal subset of CHs. Secondly, the improved cuckoo search (ICS) algorithm based route technique is employed for an optimal selection of routes. The experimental results of the HMA-CMHR model are validated under different scenarios based on the number of nodes. An extensive experimental analysis is carried out to ensure the betterment of the HMA-CMHR method in terms of different measures. The experimental results showcased the superior performance of the HMA-CMHR technique over the compared methods in terms of distinct aspects.",22 November 2021,Proceedings of Data Analytics and Management,"S. Jagadeesh,I. Muthulakshmi","(Department of Computer Science and Engineering,V V College of Engineering,Tuticorin,Tamil Nadu,India)",India
Protocols for Network and Data Link Layer in WSNs: A Review and Open Issues,https://link.springer.com/chapter/10.1007/978-3-642-17878-8_55,2,conference,Springer,none,"Recent development in wireless sensor network (WSN) has shown the importance of routing protocols as they differ in application and networking architecture. The efficiency of WSNs strongly depends on the routing protocol used. In this paper, we have discussed some of the important protocols of network and data-link layer. Various issues such as energy efficiency, lifetime, scalability of network and mobility of nodes have been discussed here. The paper concludes with open research issues.",2011,Advances in Networks and Communications,"Ankit Jain,Deepak Sharma,Mohit Goel,A. K. Verma","(Computer Science and Engineering Department,Thapar University Patiala,Punjab,India)",India
Clustering Algorithm for 3D Wireless Mobile Sensor Network,https://link.springer.com/chapter/10.1007/978-3-319-23126-6_31,8,conference,Springer,none,"Scope of sensor networks is increasing every year, finding practical application in many areas of our lives. There are a lot of algorithms for organizing stationary sensor networks where nodes location does not change. Nowadays network nodes mobility is one of the basic properties for wireless sensor network. In this regard, there are some new problems, such as connecting nodes and optimizing their energy consumption, network coverage and others, which require a new approach to organizing sensor network algorithms. The appearance of flying sensor networks actualizes this task even more. This paper discusses problems associated with mobile wireless sensor networks implementation, proposes a new clustering algorithm for three-dimensional space, simulation and comparison with the LEACH-M algorithm.",01 January 2015,"Internet of Things, Smart Spaces, and Next Generation Networks and Systems","Pavel Abakumov,Andrey Koucheryavy","(Saint-Petersburg State University of Telecommunications,Saint Petersburg,Russia)",
Data Aggregation Using Dynamic Tree with Minimum Deformations,https://link.springer.com/chapter/10.1007/978-81-322-2205-7_17,none,conference,Springer,none,"In Wireless Sensor Network, energy efficient routing is a challenging matter. In addition to this the loss of data packets during transmission should be handled carefully. Data aggregation is a technique which can be used to eliminate the unnecessary data or information and transmit only required data to the sink node. To maximize the lifetime of the sensor network, protocols like LEACH, PEGASIS had been proposed, where aggregation of data are done at the cluster head of each cluster and at the sink node. This scheme gives better performance than the conventional protocol of Direct Transmission. In this paper a new scheme has been proposed where the sink node is mobile in nature and the data are forwarded to the sink node through a tree which is constructed on the cluster head of each cluster. To maintain the dynamic structure of the tree during motion of the sink node, a minimum deformation is carried out on the tree so that total energy consumption is less which enhance the life time of the sensor network.",11 December 2014,Computational Intelligence in Data Mining - Volume 1,"Ashis Behera,Madhumita Panda","(Department of Computer Science and Engineering,PKACE,Bargarh,India),(SUIIT,Sambalpur University,Jyotivihar,Burla,768018,India)","India,India"
