title,link,number_of_citation,article_type,publisher,keyword,abstract,publish_date,publication_title,authors,affiliations,countries
On Maximizing the Lifetime of Wireless Sensor Networks by Optimally Assigning Energy Supplies,https://doi.org/10.3390/s130810219,26,Article,MDPI,"wireless sensor networks,lifetime optimization,energy supply assignment","
Abstract
      The extension of the network lifetime of Wireless Sensor Networks (WSN) is an important issue that has not been appropriately solved yet. This paper addresses this concern and proposes some techniques to plan an arbitrary WSN. To this end, we suggest a hierarchical network architecture, similar to realistic scenarios, where nodes with renewable energy sources (denoted as primary nodes) carry out most message delivery tasks, and nodes equipped with conventional chemical batteries (denoted as secondary nodes) are those with less communication demands. The key design issue of this network architecture is the development of a new optimization framework to calculate the optimal assignment of renewable energy supplies (primary node assignment) to maximize network lifetime, obtaining the minimum number of energy supplies and their node assignment. We also conduct a second optimization step to additionally minimize the number of packet hops between the source and the sink. In this work, we present an algorithm that approaches the results of the optimization framework, but with much faster execution speed, which is a good alternative for large-scale WSN networks. Finally, the network model, the optimization process and the designed algorithm are further evaluated and validated by means of computer simulation under realistic conditions. The results obtained are discussed comparatively.

  ",Accepted: 2 August 2013,Sensors,"Rafael Asorey-Cacheda,Antonio Javier García-Sánchez,Felipe García-Sánchez,Joan García-Haro,Francisco Javier González-Castano","(Centro Universitario de la Defensa, University of Vigo, Praza de España, Marín 36920, Spain),(Departament of Information and Communication Technologies, Universidad Politécnica de Cartagena (UPCT), ETSIT, Campus Muralla del Mar 1, Cartagena 30202, Spain),(Departament of Information and Communication Technologies, Universidad Politécnica de Cartagena (UPCT), ETSIT, Campus Muralla del Mar 1, Cartagena 30202, Spain),(Departament of Information and Communication Technologies, Universidad Politécnica de Cartagena (UPCT), ETSIT, Campus Muralla del Mar 1, Cartagena 30202, Spain),(Departamento de Enxeñaría Telemática, University of Vigo, Campus, Vigo 36310, Spain),",Spain
A Smart and Balanced Energy-Efficient Multihop Clustering Algorithm (Smart-BEEM) for MIMO IoT Systems in Future Networks †,https://doi.org/10.3390/s17071574,53,Article,MDPI,"WSN,MIMO,Energy Efficiency,QoE,Clustering,IoT,Future Network,5G","
Abstract
Wireless Sensor Networks (WSNs) are typically composed of thousands of sensors powered by limited energy resources. Clustering techniques were introduced to prolong network longevity offering the promise of green computing. However, most existing work fails to consider the network coverage when evaluating the lifetime of a network. We believe that balancing the energy consumption in per unit area rather than on each single sensor can provide better-balanced power usage throughout the network. Our former work—Balanced Energy-Efficiency (BEE) and its Multihop version BEEM can not only extend the network longevity, but also maintain the network coverage. Following WSNs, Internet of Things (IoT) technology has been proposed with higher degree of diversities in terms of communication abilities and user scenarios, supporting a large range of real world applications. The IoT devices are embedded with multiple communication interfaces, normally referred as Multiple-In and Multiple-Out (MIMO) in 5G networks. The applications running on those devices can generate various types of data. Every interface has its own characteristics, which may be preferred and beneficial in some specific user scenarios. With MIMO becoming more available on the IoT devices, an advanced clustering solution for highly dynamic IoT systems is missing and also pressingly demanded in order to cater for differing user applications. In this paper, we present a smart clustering algorithm (Smart-BEEM) based on our former work BEE(M) to accomplish energy efficient and Quality of user Experience (QoE) supported communication in cluster based IoT networks. It is a user behaviour and context aware approach, aiming to facilitate IoT devices to choose beneficial communication interfaces and cluster headers for data transmission. Experimental results have proved that Smart-BEEM can further improve the performance of BEE and BEEM for coverage sensitive longevity.
",Accepted: 1 July 2017,Sensors,"Lina Xu,Gregory M. P. O’Hare,Rem Collier","(School of Computer Science, University College Dublin, Belfield, Dublin 4, Ireland),(School of Computer Science, University College Dublin, Belfield, Dublin 4, Ireland),(CONSUS (Crop OptimisatioN through Sensing, Understanding & viSualisation), University College Dublin, Belfield, Dublin 4, Ireland),(School of Computer Science, University College Dublin, Belfield, Dublin 4, Ireland),","Ireland,Ireland"
A Novel Power Efficient Location-Based Cooperative  Routing with Transmission Power-Upper-Limit for  Wireless Sensor Networks,https://doi.org/10.3390/s130506448,9,Article,MDPI,"wireless sensor networks,power conservation,cooperative communication,bad nodes avoidance,power efficient","
Abstract
      The extensive usage of wireless sensor networks (WSNs) has led to the development of many power- and energy-efficient routing protocols. Cooperative routing in WSNs can improve performance in these types of networks. In this paper we discuss the existing proposals and we propose a routing algorithm for wireless sensor networks called Power Efficient Location-based Cooperative Routing with Transmission Power-upper-limit (PELCR-TP). The algorithm is based on the principle of minimum link power and aims to take advantage of nodes cooperation to make the link work well in WSNs with a low transmission power. In the proposed scheme, with a determined transmission power upper limit, nodes find the most appropriate next nodes and single-relay nodes with the proposed algorithm. Moreover, this proposal subtly avoids non-working nodes, because we add a Bad nodes Avoidance Strategy (BAS). Simulation results show that the proposed algorithm with BAS can significantly improve the performance in reducing the overall link power, enhancing the transmission success rate and decreasing the retransmission rate.

  ",Accepted: 9 May 2013,Sensors,"Juanfei Shi,Anna Calveras,Ye Cheng,Kai Liu","(School of Electronics and Information Engineering, Beihang University, Beijing 100191, China),(Wireless Network Group (WNG), Universitat Politècnica de Catalunya,  c./JordiGirona 1-3 Mòdul C3, Barcelona 08034, Spain),(i2CAT Foundation, Gran Capità 2-4 (Nexus Building), Barcelona 08034, Spain),(Research Center for Eco-environment Sciences, Department of Atmospheric Chemistry, Chinese Academy of Sciences, Beijing 100085, China),(School of Electronics and Information Engineering, Beihang University, Beijing 100191, China),","China,China,China,Spain,Spain"
Fuzzy-Logic Based Distributed Energy-Efficient Clustering Algorithm for Wireless Sensor Networks,https://doi.org/10.3390/s17071554,90,Article,MDPI,"non-uniform distribution,distributed clustering,load balance,TSK fuzzy model,neighbor nodes’ energy","
Abstract
Due to the high-energy efficiency and scalability, the clustering routing algorithm has been widely used in wireless sensor networks (WSNs). In order to gather information more efficiently, each sensor node transmits data to its Cluster Head (CH) to which it belongs, by multi-hop communication. However, the multi-hop communication in the cluster brings the problem of excessive energy consumption of the relay nodes which are closer to the CH. These nodes’ energy will be consumed more quickly than the farther nodes, which brings the negative influence on load balance for the whole networks. Therefore, we propose an energy-efficient distributed clustering algorithm based on fuzzy approach with non-uniform distribution (EEDCF). During CHs’ election, we take nodes’ energies, nodes’ degree and neighbor nodes’ residual energies into consideration as the input parameters. In addition, we take advantage of Takagi, Sugeno and Kang (TSK) fuzzy model instead of traditional method as our inference system to guarantee the quantitative analysis more reasonable. In our scheme, each sensor node calculates the probability of being as CH with the help of fuzzy inference system in a distributed way. The experimental results indicate EEDCF algorithm is better than some current representative methods in aspects of data transmission, energy consumption and lifetime of networks.
",Accepted: 29 June 2017,Sensors,"Ying Zhang,Jun Wang,Dezhi Han,Huafeng Wu,Rundong Zhou","(College of Information Engineering, Shanghai Maritime University, Shanghai 201306, China),(Department of Electrical and Computer Engineering, University of Central Florida, Orlando, FL 32816, USA),(Department of Electrical and Computer Engineering, University of Central Florida, Orlando, FL 32816, USA),(College of Information Engineering, Shanghai Maritime University, Shanghai 201306, China),(Merchant Marine College, Shanghai Maritime University, Shanghai 201306, China),(College of Information Engineering, Shanghai Maritime University, Shanghai 201306, China),",China
Development of ICT for Leaching Monitoring in Taiwan Agricultural LTER Stations,https://doi.org/10.3390/environments4030047,3,Article,MDPI,"lysimeter,data loggers,data transmission,Arduino,real-time monitoring,database,open source","
Abstract
In order to study the groundwater subsidy from different cropping systems, leaching monitoring in Taiwan started in 2008 and implemented agricultural long-term ecological research (LTER) stations. Initially, leaching data was received by lysimeters, and then collected manually by laborers in the field twice per month. The cost of data collection and transmission is high, real-time monitoring is not possible, and maintenance of instruments is inefficient. In this study, the goal is to develop a data transmission path. ICT (Information and Communication Technology) with different data transmission schemes was applied to improve the efficiency and immediacy of data transfer from the field to the databases in labs. Between 2010 and 2017, four versions of ICT have been developed and applied in LTER stations. WiFi, 2.5G (General Packet Radio Service, GPRS), 3G/4G network transmission, and Arduino cores are applied in different ICT versions. The first version of data transmission used data loggers, developed by the original factory, with a lower cost of renovation of instruments. However, complicated transmission paths, diverse instruments, poor weather resistance, and lack of wireless functionality are the limitations of the first version. Those limitations had been overcome by the second and third versions by using 2.5G (GPRS) and 3G/4G network transmission, respectively. Nevertheless, these versions are limited to the processes of data compression and encryption transmission which were developed by the system vendors. In addition, data can only be collected through the webpage provided by the vendors, instead of being received directly from the database using SQL (Structured Query Language). This is inappropriate for advanced data treatment, organization, and analysis. Finally, the fourth version of data transmission has been developed using Arduino. This system allows redesigning of the data loggers and transmission instrument with more feasibility and flexibility. Radio Frequency (Radio frequency, RF) has been imported into the transmission path to receive data from diverse instruments with fewer data loggers. In conclusion, ICT technological advancement with its advantages of reasonable cost and high flexibility and feasibility, Arduino and other open source operation systems can be used to develop the data loggers and related instruments to meet the needs of users. Therefore, ICT is the most appropriate strategy to develop the long-term monitoring system in the field and to apply to other environment monitoring systems. 
",Accepted: 27 June 2017,Environments,"Yankuang Chan,Jhenghong Hu,Chiaoying Chou,Chongyi Liao,Chiling Chen","(Taiwan Agriculture Research Institute, Council of Agriculture, Executive Yuan, Taichung 41362, Taiwan),(Taiwan Agriculture Research Institute, Council of Agriculture, Executive Yuan, Taichung 41362, Taiwan),(Taiwan Agriculture Research Institute, Council of Agriculture, Executive Yuan, Taichung 41362, Taiwan),(Yanchao District Office, Kaoshiung City Government, Kaohsiung 82446, Taiwan),(Taiwan Agriculture Research Institute, Council of Agriculture, Executive Yuan, Taichung 41362, Taiwan),",
Mineralogy and Trace Element Chemistry of Ferberite/Reinite from Tungsten Deposits in Central Rwanda,https://doi.org/10.3390/min3020121,50,Article,MDPI,"tungsten deposits,wolframite,ferberite,reinite,mineralogy,trace element chemistry,rare earth elements,Nyakabingo,Gifurwe,Bugarama,Rwanda","
Abstract
 Tungsten mineralization in hydrothermal quartz veins from the Nyakabingo, Gifurwe and Bugarama deposits in central Rwanda occurs as the iron-rich endmember of the wolframite solid solution series (ferberite) and in the particular form of reinite, which represents a pseudomorph of ferberite after scheelite. Primary ferberite, reinite and late secondary ferberite are characterized by their trace element chemistry and rare earth element patterns. The replacement of scheelite by ferberite is also documented in the trace element composition. Primary ferberite shows high Mg, Zn, Sc, V, Nb, In and Sn concentrations, but very low Ca, Pb, Sr and Ba contents. Reinite and late secondary ferberite display an uncommon trace element composition containing high concentrations of Ca, Pb, Sr, Ba, As and Ga, but very low levels in Sn, Zr, Hf, In, Ti, Sc, Nb, Ta, Mg and Zn. Late secondary ferberite replacing primary ferberite is characterized by additional enrichments in Bi, Pb, As and Sb. The rare earth element patterns of reinite and secondary ferberite are also similar to hydrothermal scheelite. The formation of the tungsten deposits in central Rwanda is interpreted to be epigenetic in origin, and the hydrothermal mineralizing fluids are related to the intrusion of the G4-granites.
",Accepted: 7 March 2013,Minerals,"Simon Goldmann,Frank Melcher,Hans-Eike Gäbler,Stijn Dewaele,Friso De Clercq,Philippe Muchez","(Federal Institute for Geosciences and Natural Resources (BGR), Stilleweg 2, Hannover D-30655, Germany),(Federal Institute for Geosciences and Natural Resources (BGR), Stilleweg 2, Hannover D-30655, Germany),(Federal Institute for Geosciences and Natural Resources (BGR), Stilleweg 2, Hannover D-30655, Germany),(Department of Geology and Mineralogy, Royal Museum for Central Africa (RMCA), Leuvensesteenweg 13, Tervuren B-3080, Belgium),(Geodynamics and Geofluids Research Group, Department of Earth and Environmental Sciences, Katholieke Universiteit Leuven, Celestijnenlaan 200E, Leuven B-3001, Belgium),(Geodynamics and Geofluids Research Group, Department of Earth and Environmental Sciences, Katholieke Universiteit Leuven, Celestijnenlaan 200E, Leuven B-3001, Belgium),","Belgium,Belgium,Belgium,Germany"
Data Aggregation Based on Overlapping Rate of Sensing Area in Wireless Sensor Networks,https://doi.org/10.3390/s17071527,7,Article,MDPI,"wireless sensor networks,data aggregation,overlapping rate of sensing area,data accuracy","
Abstract
Wireless sensor networks are required in smart applications to provide accurate control, where the high density of sensors brings in a large quantity of redundant data. In order to reduce the waste of limited network resources, data aggregation is utilized to avoid redundancy forwarding. However, most of aggregation schemes reduce information accuracy and prolong end-to-end delay when eliminating transmission overhead. In this paper, we propose a data aggregation scheme based on overlapping rate of sensing area, namely AggOR, aiming for energy-efficient data collection in wireless sensor networks with high information accuracy. According to aggregation rules, gathering nodes are selected from candidate parent nodes and appropriate neighbor nodes considering a preset threshold of overlapping rate of sensing area. Therefore, the collected data in a gathering area are highly correlated, and a large amount of redundant data could be cleaned. Meanwhile, AggOR keeps the original entropy by only deleting the duplicated data. Experiment results show that compared with others, AggOR has a high data accuracy and a short end-to-end delay with a similar network lifetime.
",Accepted: 20 June 2017,Sensors,"Xiaolan Tang,Hua Xie,Wenlong Chen,Jianwei Niu,Shuhang Wang","(College of Information Engineering, Capital Normal University, Beijing 100048, China),(College of Information Engineering, Capital Normal University, Beijing 100048, China),(College of Information Engineering, Capital Normal University, Beijing 100048, China),(State Key Laboratory of Virtual Reality Technology and Systems, School of Computer Science and Engineering, Beihang University, Beijing 100191, China),(Research Institute of Beihang University in Shenzhen, Shenzhen 518057, China),(Schepens Eye Research Institute, Harvard Medical School, Boston, MA 02114, USA),","China,China"
A Transmission Power Optimization with a Minimum Node Degree for Energy-Efficient Wireless Sensor Networks with  Full-Reachability,https://doi.org/10.3390/s130303951,16,Article,MDPI,"transmission optimization,minimum node degree,energy-efficient,full reachability networks","
Abstract
      Transmission power optimization is the most significant factor in prolonging the lifetime and maintaining the connection quality of wireless sensor networks. Un-optimized transmission power of nodes either interferes with or fails to link neighboring nodes. The optimization of transmission power depends on the expected node degree and node distribution. In this study, an optimization approach to an energy-efficient and full reachability wireless sensor network is proposed. In the proposed approach, an adjustment model of the transmission range with a minimum node degree is proposed that focuses on topology control and optimization of the transmission range according to node degree and node density. The model adjusts the tradeoff between energy efficiency and full reachability to obtain an ideal transmission range. In addition, connectivity and reachability are used as performance indices to evaluate the connection quality of a network. The two indices are compared to demonstrate the practicability of framework through simulation results. Furthermore, the relationship between the indices under the conditions of various node degrees is analyzed to generalize the characteristics of node densities. The research results on the reliability and feasibility of the proposed approach will benefit the future real deployments.

  ",Accepted: 14 March 2013,Sensors,"Yi-Ting Chen,Mong-Fong Horng,Chih-Cheng Lo,Shu-Chuan Chu,Jeng-Shyang Pan,Bin-Yih Liao","(Department of Electronic Engineering, National Kaohsiung University of Applied Sciences, Kaohsiung 807, Taiwan),(Department of Electronic Engineering, National Kaohsiung University of Applied Sciences, Kaohsiung 807, Taiwan),(Chung-Shan Institute of Science and Technology, Zuoying 90008, Taiwan),(School of Computer Science, Engineering and Mathematics, Flinders University, Adelaide 5068, Australia),(Department of Electronic Engineering, National Kaohsiung University of Applied Sciences, Kaohsiung 807, Taiwan),(Department of Electronic Engineering, National Kaohsiung University of Applied Sciences, Kaohsiung 807, Taiwan),",Australia
A First Implementation of Underwater Communications in Raw Water Using the 433 MHz Frequency Combined with a Bowtie Antenna,https://doi.org/10.3390/s19081813,75,Article,MDPI,"Bowtie Antenna,Under Water Wireless Sensor Network,Underwater Communication,Sensor Networks,Water Pollutants,Water Quality","
Abstract
In 2016, there were 317 serious water pollution incidents in the UK, with 78,000 locations where businesses discharge controlled quantities of pollutants into rivers; therefore, continuous monitoring is vital. Since 1998, the environment agency has taken over 50 million water samples for water quality monitoring. The Internet of Things has grown phenomenally in recent years, reaching all aspects of our lives, many of these connected devices use wireless sensor networks to relay data to internet-connected nodes, where data can be processed, analyzed and consumed. However, Underwater wireless communications rely mainly on alternative communication methods such as optical and acoustic, with radio frequencies being an under-exploited method. This research presents real world results conducted in the Leeds and Liverpool Canal for the novel use of the 433 MHz radio frequency combined with a bowtie antenna in underwater communications in raw water, achieving distances of 7 m at 1.2 kbps and 5 m at 25 kbps.
",Accepted: 13 April 2019,Sensors,"Samuel Ryecroft,Andrew Shaw,Paul Fergus,Patryk Kot,Khalid Hashim,Adam Moody,Laura Conway","(Built Environment and Sustainable Technologies (BEST) Research Institute, Liverpool John Moores University, Liverpool L3 3AF, UK),(Built Environment and Sustainable Technologies (BEST) Research Institute, Liverpool John Moores University, Liverpool L3 3AF, UK),(Built Environment and Sustainable Technologies (BEST) Research Institute, Liverpool John Moores University, Liverpool L3 3AF, UK),(Built Environment and Sustainable Technologies (BEST) Research Institute, Liverpool John Moores University, Liverpool L3 3AF, UK),(Built Environment and Sustainable Technologies (BEST) Research Institute, Liverpool John Moores University, Liverpool L3 3AF, UK),(United Utilities, Warrington WA5 3LP, UK),(United Utilities, Warrington WA5 3LP, UK),",
Energy Efficient Routing in Wireless Sensor Networks Through Balanced Clustering,https://doi.org/10.3390/a6010029,173,Article,MDPI,"WSNs,energy efficiency,hierarchical routing,Gaussian elimination","
Abstract
The wide utilization of Wireless Sensor Networks (WSNs) is obstructed by the severely limited energy constraints of the individual sensor nodes. This is the reason why a large part of the research in WSNs focuses on the development of energy efficient routing protocols. In this paper, a new protocol called Equalized Cluster Head Election Routing Protocol (ECHERP), which pursues energy conservation through balanced clustering, is proposed. ECHERP models the network as a linear system and, using the Gaussian elimination algorithm, calculates the combinations of nodes that can be chosen as cluster heads in order to extend the network lifetime. The performance evaluation of ECHERP is carried out through simulation tests, which evince the effectiveness of this protocol in terms of network energy efficiency when compared against other well-known protocols.
",Accepted: 14 January 2013,Algorithms,"Stefanos A. Nikolidakis,Dionisis Kandris,Dimitrios D. Vergados,Christos Douligeris","(Department of Informatics, University of Piraeus, 80, Karaoli & Dimitriou Street, GR-185-34 Piraeus, Greece),(Department of Electronics, Technological Educational Institute (TEI) of Athens, Agiou Spiridonos, GR-12210 Egaleo, Athens, Greece),(Department of Informatics, University of Piraeus, 80, Karaoli & Dimitriou Street, GR-185-34 Piraeus, Greece),(Department of Informatics, University of Piraeus, 80, Karaoli & Dimitriou Street, GR-185-34 Piraeus, Greece),",Greece
