title,link,number_of_citation,article_type,publisher,keyword,abstract,publish_date,publication_title,authors,affiliations,countries
ECTMRA: Energy Conserving Trustworthy Multipath Routing Algorithm Based on Cuckoo Search Algorithm,https://link.springer.com/article/10.1007/s11277-016-3378-6,13,article,Springer,"Wireless sensor networks,Network lifetime,Soft computing,Cuckoo search algorithm,Trust,Routing","Lifetime maximization is one of the serious research issues for energy constrained wireless sensor networks. There are several ways to achieve enhanced network lifespan. This paper presents a routing algorithm namely Energy Conserving Trustworthy Multipath Routing Algorithm (ECTMRA) based on Cuckoo search algorithm, which serves its purpose by overthrowing issues such as routing overhead, memory overhead, along with the increased energy conservation is presented. This work clubs three different techniques such as clustering based on Cuckoo search algorithm, trust and multipath routing techniques into a single approach. This maximizes the lifespan of the network with the least energy consumption. Besides this, ECTMRA shows improved packet delivery ratio, network lifespan and reduced end-to-end delay, routing overhead and energy consumption. The performance of the proposed algorithm is evaluated against existing approaches and the experimental results outperform the existing techniques.",03 June 2016,Wireless Personal Communications,"T. Senthil,B. Kannapiran","(Kalasalingam University,Krishnankoil,India)",India
Energy efficient clustering protocol for WSNs based on bio-inspired ICHB algorithm and fuzzy logic system,https://link.springer.com/article/10.1007/s12530-018-9254-8,8,article,Springer,"Clustering,Wireless sensor networks,ICHB,BFOA,HEED,Fuzzy logic system,Network lifetime","This paper explores the capabilities of Intelligent cluster head selection based on bacterial foraging optimization (ICHB) algorithm and fuzzy logic system (FLS) for searching better cluster head (CH) nodes without using any randomized algorithms in the network. ICHB-HEED is one of the recent clustering based protocol in the field of wireless sensor networks (WSNs). In this paper, the clustering procedures of ICHB-HEED is further improved by applying the combination of ICHB algorithm and FLS system based on residual energy, node density and distance to base station (BS) parameters which results in ICHB-Fuzzy Logic based HEED (ICFL-HEED) protocol. It alleviates the formation of holes and hot-spots in the network, delays the death of sensor nodes (SNs), minimizes the energy consumption of SNs, forms even-sized clusters and extends the network lifetime competently. The proposed ICFL-HEED protocol is compared with existing HEED & ICHB-HEED protocols and observed that the performance of ICFL-HEED is far better than these protocols.",10 October 2018,Evolving Systems,"Prateek Gupta,Ajay K. Sharma","(Department of Computer Science and Engineering,Dr B R Ambedkar National Institute of Technology,Jalandhar,Punjab,India),(I. K. Gujral Punjab Technical University,Jalandhar,India)","India,India"
Scaling hierarchical clustering and energy aware routing for sensor networks,https://link.springer.com/article/10.1186/s40294-015-0011-6,14,article,Springer,"Wireless sensor networks,Routing,Hierarchical clustering,Energy efficiency","
Energy efficiency in wireless sensor networks (WSNs) is of a primary concern due to the limited energy capacity of sensor nodes. Since most power dissipation occurs in wireless communication, it becomes imperative to reduce the energy costs of communication by developing power efficient communication protocols. To that end, this paper presents scaling hierarchical power efficient clustering with energy aware routing (SHEAR), which offers a clustering based scalable topology control coupled with an energy aware path selection scheme. By selecting cluster heads based on the maximum local residual energy of neighboring nodes, the topology control of SHEAR distributes energy dissipation evenly among all clusters. Additionally, routes for packet flows are allocated such that the aggregate energy consumption along a chosen path is minimized while avoiding the nodes with low energy levels. Simulation results demonstrate the effectiveness of SHEAR in attaining reasonably long-lived WSNs.",12 December 2015,Complex Adaptive Systems Modeling,"Mumtaz Ali Shah,Ghulam Abbas,Zahid Halim,Abdul Basit Dogar","(Faculty of Computer Sciences & Engineering,GIK Institute of Engineering Sciences and Technology,Topi,23640,Pakistan),(Department of Computer Science and Technology,Tsinghua University,Beijing,China)","China,Pakistan"
Fuzzy Based Sleep Scheduling Algorithm with Machine Learning Techniques to Enhance Energy Efficiency in Wireless Sensor Networks,https://link.springer.com/article/10.1007/s11277-021-08167-y,18,article,Springer,"Clustering,Fuzzy inference,Machine learning,Network lifetime,Energy enhancement,Wireless sensor networks,Sleep scheduling","Wireless sensor networks, generally, are grouped into clusters to collect information effectively. Such grouping of nodes helps immensely to elongate the life of Wireless Sensor Networks. Message exchanges between nodes for consecutive and periodic clustering overload the sensor nodes and cause a shortfall of energy. Additional overhead during cluster formation, instability in energy use and the difficulty of information sharing during clustering, uncertain network structure, etc. are the current clustering problems. There is also a need to enhance intra-cluster transmission and to find effective methods to extend the network's lifespan. This paper aims to reduce the energy loss of nodes by reducing the message transmission overhead and simplifying the creation and upgrading of clusters to improve the lifespan of the network. A clustering strategy where the cluster is regularly restructured to decrease the overhead on cluster head nodes is also proposed in the paper. The suggested approach reduces data transmission using machine learning by the cluster member nodes and reduces the energy consumption of individual sensor nodes by implementing a suitable active/sleep schedule. To calculate the cluster update cycle and sleep cycle, it also makes use of the advantages of fuzzy logic by selecting appropriate fuzzy descriptors such as average data rate, distance from the head node to the sink and the remaining energy. The proposed approach optimizes the energy utilization of cluster heads and node members thereby enhancing the lifespan of the sensor network.",10 February 2021,Wireless Personal Communications,"S. Radhika,P. Rangarajan","(Department of Computer Science and Engineering,RMK Engineering College,Kavaraipettai,Tamilnadu,601206,India),(Department of Computer Science and Engineering,RMD Engineering College,Kavaraipettai,Tamilnadu,601206,India)","India,India"
A review on the recent energy-efficient approaches for the Internet protocol stack,https://link.springer.com/article/10.1186/s13638-015-0336-z,22,article,Springer,"Green communications,Green networking,Energy-efficient protocols,Energy-efficient applications","The reduction of energy consumption has become a key research area for the information and communication technology (ICT) industry, due to economical, environmental, and marketing reasons. While the environmental direction aims at minimization of greenhouse gas emissions by enforcing the usage of renewable energy in the ICT industry, economical and marketing directions lead researchers to design low-power components or develop and enhance energy-saving protocols without an impact on the level of the performance. With the steady increase in the cost of energy, the expanding number of energy-hungry components and widespread usage of ICT industry, most of the protocols that have become an integral part of our lives but are yet developed without any energy constraints in mind in the past will need to be restructured or developed again. For this reason, researchers are studying on all layers of the Internet protocol stack to develop energy-efficient protocols and algorithms. This paper reviews recent approaches for energy efficiency studies for each layer in the Internet protocol stack from the physical layer to the application layer. It is expected that with the deployment of current research output, the studies performed at each layer will result in significant energy savings for the ICT industry which in turn will have a positive impact on our lives for their economical and environmental results.",18 April 2015,EURASIP Journal on Wireless Communications and Networking,"Korhan Cengiz,Korhan Cengiz,Tamer Dag","(Electrical-Electronics Engineering Department,Trakya University,Prof. Dr. Ahmet Karadeniz Yerleskesi,Edirne,22030,Turkey),(Electrical-Electronics Engineering Department,Kadir Has University,Cibali,Istanbul,34083,Turkey),(Computer Engineering Department,Kadir Has University,Cibali,Istanbul,34083,Turkey)",
Unequal Clustering Energy Hole Avoidance (UCEHA) algorithm in Cognitive Radio Wireless Sensor Networks (CRWSNs),https://link.springer.com/article/10.1007/s11276-024-03801-6,none,article,Springer,"Cognitive radio wireless sensor networks,Energy holes,Hot spot,Energy consumption,Unequal clustering","Cognitive Radio Wireless Sensor Networks (CRWSNs) promise optimized spectrum utilization but face challenges in sustaining energy balance, particularly due to the emergence of “hot spots.” In CRWSNs, Cluster Heads (CHs) closer to the sink experience higher traffic as compared to those farther away, primarily due to their role in data collaboration and relaying to the sink. This leads to early depletion of their energy reserves and potentially causing the network to partition creating hot spots or energy holes. Effective clustering algorithms are needed to mitigate these hot spots. The main objective of the paper is to propose a novel clustering scheme titled “Unequal Clustering Energy Hole Avoidance (UCEHA) algorithm” to address hot spot issues in CRWSNs. UCEHA partitions the network into clusters based on sink proximity, selecting CHs considering node energy, communication channels, neighbors, and sink distance. An enhanced spectrum-aware AODV mechanism facilitates efficient data routing. To test and validate the proposed methodology, extensive experimentations were conducted and the results demonstrate UCEHA’s superiority over existing methods, exhibiting reduced energy consumption (average 19%), improved network load balance (average 26%), increased network lifetime (average 40%), and enhanced throughput (average 8%). These results highlight the effectiveness of UCEHA algorithm in addressing energy imbalance and hot spot issues in CRWSNs, ultimately leading to enhanced network performance and longevity.",20 June 2024,Wireless Networks,"Ranjita Joon,Parul Tomar,Gyanendra Kumar,Balamurugan Balusamy,Anand Nayyar","(Department of Computer Engineering,J. C. Bose University of Science & Technology,YMCA,Faridabad,Haryana,121006,India),(Department of IoT and Intelligent Systems,Manipal University Jaipur,Jaipur,Rajasthan,303007,India),(Associate Dean-Student Engagement,Shiv Nadar University,Greater Noida,Uttar Pradesh,201314,India),(Graduate School,Faculty of Information Technology,Duy Tan University,Da Nang,550000,Viet Nam)","India,India,India,Viet Nam"
Solar energy harvested prolong stability period protocol for wireless sensor networks,https://link.springer.com/article/10.1007/s41870-023-01171-4,2,article,Springer,"WSN,Energy harvesting,Node coupling,Stability period","Wireless sensor networks (WSNs) are expected to have a substantial influence on a variety of applications, including health monitoring and surveillance. The limited availability of energy remains a serious problem despite numerous improvements in energy-aware communication strategies for WSNs. Energy harvesting from ambient sources, such as solar, wind, and vibration, is one of the most alluring ways to increase the lifespan of WSNs. In recent work, a node pairing protocol was proposed whereby using node pairing, proper cluster head selection, proper cluster diameter selection, and stability period was enhanced. In the present paper, further enhancement of the node pairing protocol is suggested using a solar energy harvesting mechanism to further enhance the stability period and throughput. Finally, the proposed mechanism is validated by comparing the results to cutting-edge methods. In terms of stability period and throughput, it has been discovered that the largest improvements over the state-of-the-art approach are 35.61% and 22.34%, respectively.",18 February 2023,International Journal of Information Technology,"Amit Yadav,Narendra Kohli,Anil Yadav","(Dr. A.P.J. Abdul Kalam Technical University,Lucknow,India),(Harcourt Butler Technical University,Kanpur,India),(Computer Application Department,UIET,CSJM University,Kanpur,India)","India,India,India"
Towards Secure Data Forwarding with ANFIS and Trust Evaluation in Wireless Sensor Networks,https://link.springer.com/article/10.1007/s11277-020-07392-1,8,article,Springer,"WSN,Routing protocol,Trust evaluation","The rapid growth of Wireless Networking and MEMS augmented the human lifestyle. The combination of Wireless Sensor Networks (WSN) with Artificial Intelligence (AI) payed way to development of enormous application which can think like human and predict better results. Nowadays, AI assisted WSN applications are used in many places like border security, traffic monitoring and management, automated vehicles and much more which helps and saves human life. However, the possibility of adverse attacks on sensor nodes are also increasing. There are several reports on malicious intrusions and data leakage in WSN due to poor security mechanism. In this proposal, a novel Trust based Routing solution is proposed with the employment of ANFIS and NN with Trust algorithm. The experimental results of ATE protocol has proven that the protocol secure the WSN with higher lifetime and confidential data forwarding.",25 April 2020,Wireless Personal Communications,P. N. Renjith,"(Computer Science and Engineering Department,Hindustan Institute of Technology and Science,Chennai,Tamilnadu,India)",India
A soldier bee defence mechanism for detecting impersonate sensor node in wireless sensor networks,https://link.springer.com/article/10.1007/s00779-021-01653-x,1,article,Springer,"Wireless sensor network (WSN),Soldier bee,Unhealthy nodes,ECDSA","Wireless sensor networks consist of some sensor nodes that have a minimum operational capability, with less memory capacity for storing data and limited energy sources. The deployment of these nodes or sensors takes place randomly in the dynamic or static environment. This type of placement of nodes in a hostile environment can be charged by the malicious nodes in a wireless sensor network (WSN). This vulnerability in nodes makes the wireless sensor network unstable and leads to many types of demerits like limited battery lifetime, less computing and limited memory space. To avoid these attacks and to reduce the impact created by the malicious nodes, we suggest a simple and effective way of detecting and removing unhealthy nodes in the environment. We proposed a simple scheme by using the artificial bee colony algorithm which is known as the soldier bee defence mechanism to provide proper security from the impersonate of node attack algorithm in detecting the malicious node present in the network. The malicious nodes will be intimated to the base station and the changes in the position of the estimated node should be monitored continuously. To develop an enriched swarm intelligence algorithm-based secured artificial bee colony optimizer gives a global exploration of multiple paths for carrying data transmission from the sensor to sink nodes in the absence of malicious nodes. Here, we are using the Elliptic Curve Digital Signature Algorithm for secured communication between the nodes in a wireless network. The novelty of this algorithm is to detect a compromised node and to reduce the authentication delay and packet loss. The theme of a scheme is to find the unhealthy or malicious cluster head nodes in the network and removing that particular node without creating any harm to the other nodes in the environment. It also helps to improve the energy efficiency and packet delivery ratio with maximum throughput in WSN.",08 November 2021,Personal and Ubiquitous Computing,"R. S. Raghav,Debnath Bhattacharyya,Dinesh Kumar Anguraj,Tai-hoon Kim","(School of Computing,SASTRA Deemed University,Thanjavur,Tamilnadu,India),(Department of Computer Science and Engineering,Koneru Lakshmaiah Education Foundation,Vaddeswaram,A.P,India),(Glocal Campus of Konkuk University,268,Chungwon-daero,Chungju-si,27478,Chungcheongbuk-do,Korea)","India,India"
Enhancing low latency and high performance in clustered-based wireless sensor network routing using genetic algorithm for 5G networks,https://link.springer.com/article/10.1007/s11082-023-05379-3,5,article,Springer,"Wireless sensor network (WSN),Genetic algorithm (GA),Sink mobility,Energy efficiency,Low latency,Clustering","Wireless sensing networks (WSN) have gained widespread acceptance across numerous industries. They are seen as a crucial element of upcoming real-time systems like Big Data with the Internet of Things. Given the heterogeneous nature of the system, contemporary applications demand minimal latency and flexible actual-time data availability. Enable minimal latency actual time information accessibility requires additional energy from sensor devices. Using clustering techniques helped reduce energy usage and provide flexibility for sensing devices. However, it uses power overhead between the sensing unit nearer to the sink with the clustering head. This research presents an enhanced lower latency and energy-effective router  dependent sink portability method with WSN. A sink mobility path is developed over the networking region once partitioned into the ideal number of groupings. The GA procedure chooses the best sink positions for every cluster’s path. The movable sink collects information from every node within the associated clusters when it stops at the ideal sink positions. When transmitting information, a good sink position uses the least amount of node power. The GA initializes the community of chromosomes to find the best sink position for groups. Additionally, a network-based energy usage framework is suggested that carries out the GA procedure’ fitness assessing operator. The collection of ideal sink positions on the path for each group is produced by the GA system that has been created. The findings show that, compared to other procedures, GA-based sinking movement increases network reliability.",22 September 2023,Optical and Quantum Electronics,"Firdouse Banu,M. Udhayamoorthi,Venkata Ramana Gupta Nallagattla,Lakshmana Phaneendra Maguluri,N. B. Mahesh Kumar,S. Jayachitra","(Department of Applied Information System,Applied College,King Khalid University,Khamis Mushaiyt,Saudi Arabia),(Department of Computer Science and Design,Karpagam College of Engineering (Autonomous),Coimbatore,641032,India),(Department of CSE,Prasad V. Potluri Siddhartha Institute of Technology,Vijayawada,India),(Department of Computer Science and Engineering,Koneru Lakshmaiah Education Foundation,Guntur Dist.,Vaddeswaram,Andhra Pradesh,522302,India),(Department of Computer Science and Engineering,Hindusthan Institute of Technology,Valley Campus,Pollachi Highway,Coimbatore,Tamil Nadu,641 032,India),(Department of Electronics and Communication Engineering,PSNA College of Engineering and Technology,Dindigul,India)","India,India,India,India,India,Saudi Arabia"
