title,link,number_of_citation,article_type,publisher,keyword,abstract,publish_date,publication_title,authors,affiliations,countries
"Analysis of the Lifetime and Energy Consumption of WSN Routing Protocols: LEACH, EAMMH and SEP",https://link.springer.com/chapter/10.1007/978-981-15-5232-8_54,1,conference,Springer,none,"
The lifetime of Wireless Sensor Network (WSN) is based on the energy of each sensor. Therefore, numerous routing protocols have been introduced such as SEP (Stable Election Protocol), LEACH (Low energy adaptive clustering hierarchy) and EAMMH (Energy Aware Multi-hop Multi-path Hierarchical routing protocol) to stable the lifetime of WSN by efficient utilization of energy of the sensors. In WSN networks data is collected and forwarded wirelessly to the base stations. Routing protocols in WSN provide an efficient path for multi-hop communication because the transmission range and battery power storage of nodes is limited. As nodes are usually deployed in remote areas so, they face challenges of long lifetime, network architecture, security issues, and network coverage. Many routing protocols have been developed to increase the efficiency of networks. Out of these clustering algorithms are the best choice to increase the lifetime of the nodes. Each protocol has its limitations in different scenarios. In this paper, we discussed and compared the performance of LEACH, EAMMH and SEP. SEP is an efficient algorithm due to its weighted cluster head (CH) selection method. Simulation results are obtained using MATLAB. Design metrics of energy consumption and network lifetime are under consideration in this research work.
",09 May 2020,Intelligent Technologies and Applications,"Muhammad Yasir Farooq,Ghulam Mohayy ud din,Khan Bahadar Khan,Eid Rehman,Sundus Amin","(Department of Electronic Engineering,UCET,The Islamia University of Bahawalpur,Bahawalpur,Pakistan),(Department of Telecommunication Engineering,The Islamia University of Bahawalpur,Bahawalpur,Pakistan),(Department of Computer Science,International Islamic University Islamabad,Islamabad,Pakistan),(Department of Computer Science,COMSATS University Islamabad,Islamabad,Pakistan)","Pakistan,Pakistan,Pakistan,Pakistan"
Performance Analysis of Energy Efficient Video Transmission Using LEACH Based Protocol in WSN,https://link.springer.com/chapter/10.1007/978-981-19-7169-3_10,none,conference,Springer,none,"Video transmission over wireless sensor networks is an on-demand research due to the advantage of low power consumption and low implementation cost. Video transmission has deployed in many of the WMSN trends, which includes multimedia, video surveillance, health-care monitoring, military, environmental and industrial applications. In this paper, an energy efficient video transmission using hierarchical LEACH based routing protocol has been conducted through MATLAB simulation, based on H.264 video coding technique. In this investigation of video transmission over LEACH based routing protocols, our proposed modified micro genetic algorithm consumes less energy when compared with other LEACH variants.",01 January 2023,Computer Vision and Machine Intelligence Paradigms for SDGs,"M. Radhika,P. Sivakumar","(Department of Information and Communication Engineering,Anna University,Chennai,Tamilnadu,India),(Department of Electronics and Communication Engineering,Dr. N.G.P. Institute of Technology,Coimbatore,Tamilnadu,India)","India,India"
Optimization of LEACH for Developing Effective Energy-Efficient Protocol in WSN,https://link.springer.com/chapter/10.1007/978-981-15-0324-5_17,6,conference,Springer,none,"In the present research paper, the author is trying to improve LEACH for increasing energy efficiency of protocol within wireless sensor network by optimizing Low Energy Adaptive Clustering Hierarchy (LEACH). Optimizing LEACH protocol has certain limitations like routing, aggregation, selection of cluster head (CH) and transmission of data to cluster head which tends to uneven distribution of Energy. Taking this problem into consideration, we are focusing to enhance energy efficiency protocol. We have proposed a solution to improve LEACH by implementing new scheme for selection of cluster head and changing the routing techniques.",17 November 2019,International Conference on Innovative Computing and Communications,"Avinash Bhagat,G. Geetha","(Lovely Professional University,Phagwara,India)",India
Energy-Aware LEACH: A Weighted Metric Approach for Dynamic Cluster Head Selection in WSN,https://link.springer.com/chapter/10.1007/978-3-031-60594-9_20,none,conference,Springer,none,"Wireless Sensor Networks (WSNs) are critical in different applications, from environmental monitoring to industrial automation. Effectively managing energy within WSNs is crucial to extend network longevity and ensure continuous data collection. This study introduces an implementation of the Low Energy Adaptive Clustering Hierarchy (LEACH) protocol, a widely adopted approach for energy-efficient clustering in WSNs. LEACH addresses energy imbalances among sensor nodes by dynamically selecting cluster heads in a distributed manner. In this implementation, we propose a novel cluster head selection technique that incorporates a weighted metric considering three key parameters: node energy level, energy gradient, and distance from the sink. The introduced metric aims to enhance the robustness and adaptability of the protocol in diverse network scenarios. Simulation results underscore the effectiveness of the proposed LEACH implementation in achieving energy-efficient clustering and extending the network’s operational lifespan. Experiments conducted using MATLAB R (2021b) software demonstrated that the proposed algorithm increased the network lifespan by 41.18% and resulted in a significant reduction in energy consumption by about 65.38%. This highlights that the suggested energy-saving clustering hierarchy algorithm has significantly improved the performance.",31 July 2024,13th International Conference on Information Systems and Advanced Technologies “ICISAT 2023”,"Nassir Harrag,Abdelghani Harrag,Akram Kout","(Mechatronics Laboratory,Ferhat Abbas University 1,Sétif,Algeria),(MISC Lab. Constantine,Ferhat Abbas Setif University 1,Sétif,Algeria)","Algeria,Algeria"
LEACH Clustering Routing Protocol for WSN,https://link.springer.com/chapter/10.1007/978-1-4471-4853-1_20,10,conference,Springer,none,"The node energy, storage space, and computation ability are limited, so energy saving is the primary goal in the design of wireless routing. The traditional wireless routing cannot be directly applied to the WSN, so WSN routing protocol research has important practical significance. The improved LEACH protocol means to make each nodes energy utilization more equalized to extend the total amount of data and network survival time. To improve the performance of the whole network is a crucial principle for the research of WSN according to a specific application in the future.",01 January 2013,Proceedings of the International Conference on Information Engineering and Applications (IEA) 2012,"Dongfeng Guo,Lijun Xu","(Institute of Computer and Information Engineering,Xinxiang University,Xinxiang,453003,Henan,China)",China
Testbed Implementation of MAX LEACH Routing Protocol and Sinkhole Attack in WSN,https://link.springer.com/chapter/10.1007/978-981-19-9228-5_14,none,conference,Springer,none,"The WSN is a deployment of small sensors which are powered by a small battery. These sensors sense their surroundings according to the application and transfer the data to the BS due to which the energy of these sensors is dissipated. The residual energy of the nodes gradually decreases and this effects the Lifetime of the network. To increase the performance and Lifetime of the WSN, a MAX LEACH Routing protocol was proposed. There are chances of security attacks externally like wear and tear of the nodes and theft of the nodes which are deployed in remote places. But more than that due to the presence of the malicious nodes in the network causes Internal attacks and more damage than the external security attacks. The WSNs are vulnerable to various types of security attacks in every layer. Out of them the most dangerous attack is the sinkhole attack. In this paper we implement the TESTBED of the MAX LEACH Routing protocol and also the Sinkhole attack on the MAX LEACH Routing protocol in the WSN.",18 March 2023,Proceedings of Third International Conference on Advances in Computer Engineering and Communication Systems,"J. Suman,K. Shyamala,G. Roja,N. Pranay","(CSE Department,B V Raju Institute of Technology,Narsapur,Medak,Telangana,India),(CSE Department,UCOE,Osmania University,Hyderabad,Telangana,India)","India,India"
Cluster Head Selection in WSN Using EE-LEACH,https://link.springer.com/chapter/10.1007/978-981-99-2746-3_33,none,conference,Springer,none,"Wireless sensor network is in huge demand from the past few years, as at the present time there is rapid development of wireless devices together with cell phones, mobiles, PDA’s, laptops and many more in wireless sensor network comprises of several small sensor nodes. Usually, in a wireless sensor network, the node is not at all required when the battery dies and in order to evade this issue numerous protocols were familiarized. However, mostly used protocols are routing protocols that are hierarchical. To eliminate the problem in the existing System, the EE-LEACH (Energy Efficient-LEACH) algorithm is utilized to select cluster head nodes grounded on the residual energy of the nodes. To evaluate both the schemes, an extensive simulation study is performed using the MATLAB. The proposed system is improved version of existing system with respect to network lifetime. In the proposed model, LEACH protocol is modified in MATLAB that supports to extend network live period.",02 October 2023,Proceedings of the 2nd International Conference on Cognitive and Intelligent Computing,"Sujatha Karimisetty,Manasa Velamuri,B. G. Poornima Himaketan","(Dadi Institute of Engineering and Technology,CSE,Visakhapatnam,India)",India
Network Adaptive Self-configuring Multi-mode LEACH Protocol for Hierarchical WSN,https://link.springer.com/chapter/10.1007/978-981-16-8862-1_44,2,conference,Springer,none,"Wireless sensor networks (WSNs), a distributed and infrastructure-free network, have expanded the horizons of the Internet of things (IoT) and machine-to-machine (M2M) communication systems. The rising demands with energy efficiency have been motivation for research on more efficient routing solutions. LEACH being most effective, but with less attention towards dynamics of topology and QOS requirements, has limited its ace. This paper proposes a network adaptive multi-mode LEACH protocol (M2M-LEACH) to meet QoS and energy efficiency requirements of IoT/M2M communication system. It performs a network adaptive grid partitioning, accommodating three different transmission modes—node to gateway (CNG), node to base station (CN-BS) and node to the cluster head (CH) and CH to base station (BS) while considering residual energy and inter-node distance for CH selection. Thus, the strategic implementation of the aforementioned multimode transmission with multi-parameter adaptive CH selection enabled timely and reliable transmission over large-scale dense WSN. The MATLAB-based simulation showed that the proposed M2M-LEACH protocol achieves better energy efficiency, throughput and network lifetime. It has also proven to achieve node alive rate then classical LEACH and its improved variants, resulting its suitability towards QOS and energy-efficient IoT/M2M communication systems.",20 March 2022,"Proceedings of Third International Conference on Communication, Computing and Electronics Systems",S. Kavitha Rani,"(Department of E&C,Global Academy of Technology,Bengaluru,India)",India
"Comparative Analysis of SEP, I-SEP, LEACH and PSO-Based Clustering Protocols in WSN",https://link.springer.com/chapter/10.1007/978-981-15-0751-9_57,3,conference,Springer,none,"Wireless sensor networks (WSNs) are significantly resource restrained by their bounded power supply. Hierarchical routing such as LEACH (Low-energy adaptive clustering hierarchy) is an effectual methodology, in which cluster has been structured; however, choosing an energy-sensible cluster by optimally selection of cluster heads (CH) is also very challenging. In present paper, extensive review and comparative study of hierarchical routing protocols such as stable election protocol (SEP), improved stable election protocol (I-SEP), and optimized versions of LEACH based on particle swarm optimization (PSO) are presented. Several parameters have been considered as the base of the study to reflect useful results in comparison of clustering protocol in WSN that leads to interesting findings in the form of results. The comparative study is examined over a variety of performances metrics such as alive nodes per round, packet to base station (BS) per round, and dead nodes per round. Based on the detailed consideration and observations, a qualitative conclusion is also drawn in the end.",11 February 2020,Soft Computing: Theories and Applications,"Ankit Gambhir,Ashish Payal,Rajeev Arya","(USICT GGS IP University,New Delhi,India),(National Institute of Technology,Patna,India)","India,India"
A Modified LEACH Algorithm for WSN: MODLEACH,https://link.springer.com/chapter/10.1007/978-3-030-24322-7_75,none,conference,Springer,none,"Communication has its roots right from the beginning of the human race. As humans evolved the need for communication increased tremendously and as well the technology of communication progressed. The era of communication from analog to digital has further advanced to wireless with Sensor networks occupying the most of area in communication nowadays. Communication community is highly depending upon wireless sensor networks and they are the key technology in communications. Even though these networks are widely used they are is still need for research such that its full features and the advantages can be fully utilized in the field of communication. The basic concern of these networks is energy and security as the energy is limited and the networks are wireless. Hence more algorithms have been developed for the energy efficiency. The popular among these networks is the Low Energy Adaptive Clustering Hierarchy (LEACH) algorithm. In this paper, a modification of MODLEACH with cluster based routing is developed as Modified LEACH(MODLEACH) in which the energy efficiency is increased considerably. The method of alternate cluster head is introduced by allotting threshold power levels. The results of this paper are studied along with LEACH and found to be appreciably good. The network metrics of cluster head formation, energy efficiency throughput and network life. An analysis is done with hard and soft threshold levels of the cluster head are studied.",13 July 2019,"Advances in Decision Sciences, Image Processing, Security and Computer Vision","M. Khaleel Ullah Khan,K. S. Ramesh","(Department of ECE,KLEF,Vaddeswaram,Guntur,India)",India
