title,link,number_of_citation,article_type,publisher,keyword,abstract,publish_date,publication_title,authors,affiliations,countries
A modified whale-dragonfly algorithm and self-adaptive cuckoo search-based clustering strategy for augmenting network lifetime in wireless sensor networks,https://onlinelibrary.wiley.com/doi/10.1002/dac.5482,none,RESEARCH ARTICLE,Wiley,"cluster router (CR),clustering,energy stability,modified whale-dragonfly optimization algorithm (MWDOA),self-adaptive cuckoo search (SACS)","Designing an energy efficient and durable wireless sensor networks (WSNs) is a key challenge as it personifies potential and reactive functionalities in harsh antagonistic environment at which wired system deployment is completely infeasible. Majority of the clustering mechanisms contributed to the literature concentrated on augmenting network lifetime and energy stability. However, energy consumption incurred by cluster heads (CHs) are high and thereby results in minimized network lifetime and frequent CHs selection. In this paper, a modified whale-dragonfly optimization algorithm and self-adaptive cuckoo search-based clustering strategy (MWIDOA-SACS) is proposed for sustaining energy stability and augment network lifetime. In specific, MWIDOA-SACS is included for exploiting the fitness values that aids in determining two optimal nodes that are selected as optimal CH and cluster router (CR) nodes in the network. In MWIDOA, the search conduct of dragon flies is completely updated through whale optimization algorithm (WOA) for preventing load balancing at CHs. It minimized the overhead of CH by adopting CHs and CR for collecting information from cluster members and transmitting the aggregated data from CHs to the base station (BS). It included self-adaptive cuckoo search (SACS) for achieving sink mobility using radius, energy stability, received signal strength, and throughput for achieving optimal data transmission process after partitioning the network into unequal clusters. Simulation experiments of the proposed MWIDOA-SACS confirmed better performance in terms of total residual energy by 21.28% and network lifetime by 26.32%, compared to the competitive CH selection strategies.",24 March 2023,International Journal of Communication Systems,"Sebasthiyar Jaya Pratha,Valayapathy Asanambigai,Seenapuram Rajan Mugunthan,","(Research Scholar, Department of CSE, Faculty of Engineering and Technology Annamalai University Chidambaram India),(Research Scholar, Department of CSE, Faculty of Engineering and Technology Annamalai University Chidambaram India),(Department of CSE Dr. N.G.P. Institute of Technology Coimbatore India),","India,India,India,India"
Analysis of Home-School Collaboration Mechanism and Psychological Impact Based on MultiSource Big Data Information Fusion,https://onlinelibrary.wiley.com/doi/10.1155/2022/1506645,1,Research Article,Wiley,,"Affected by the global epidemic, teachers and students need to study related courses online, which have become a new inevitable trend for the construction of online courses. Introduce new technologies and apply mature big data to the field of education. Through information fusion processing of multisource data, we can effectively integrate educational resources and improve educational level. The research results of this article show that (1) different identity roles have different needs and problems for home-school collaboration, which needs to be designed from reality. (2) P < 0.01 indicates that there are significant differences in parents’ evaluation in different areas; P > 0.05 indicates that parents’ evaluation has nothing to do with gender, and there is no overall difference. (3) Compared with BPNDA and SOFMDA, CNNMDA has the advantages of slow growth of error rate, high efficiency of data fusion, and 7.5% reduction of energy consumption of network nodes, showing excellent performance. (4) There is no abnormality in the function of user portrait after detection, the expected effect is over 80%, and the concurrent times per second are about 441 times. The final result of the experiment is very good. Meet our design and expectations. The follow-up work can also optimize the details.",11 May 2022,Wireless Communications and Mobile Computing,"Yaling Li,","(Mental Health Education and Counseling Center, Shenzhen Technology University, Shenzhen, 518118 Guangdong, China sztu.edu.cn),",China
Impact of rate of recurrent communication of sensor node on network lifetime in a wireless sensor network,https://onlinelibrary.wiley.com/doi/10.1049/iet-smt.2016.0290,13,Research Article,Wiley,"wireless sensor networks,recurrent communication rate,sensor node,network lifetime,wireless sensor network,cluster head reselection frequency,energy drainage parameters,residual energy,low energy adaptive clustering hierarchy,energy consumption,time overhead","Recent research works suggest cluster head reselection as a mechanism for network lifetime improvement. Cluster head reselection is either energy or time dependent. However, frequent cluster head reselection increases time overhead and energy consumption leading to reduction in network lifetime. Hence, an attempt is made to minimise the cluster head reselection frequency. The cluster head reselection is carried out whenever the energy of current cluster head falls below the threshold and this threshold corresponds to the minimum energy required for a node to survive. It is this selection of the threshold value that favours reduction in cluster head reselection frequency. Further, the cluster head reselection is based on energy drainage parameters such as the rate of recurrent communication of sensor node in addition to the residual energy of the node and distance of the node from the base station. To demonstrate the effect of rate of recurrent communication of sensor node on cluster head reselection, experiments are conducted both through simulation and hardware. Further, to study the effectiveness of the proposal, comparisons are made with other algorithms such as low energy adaptive clustering hierarchy (LEACH)-C, adaptive decentralised re-clustering protocol and T-LEACH. Reduced cluster head reselection frequency exhibits low energy consumption and time overhead with enhanced network lifetime.",01 July 2017,"IET Science, Measurement & Technology","Hemavathi Natarajan,Shobhit Kumar Nagpal,Sudha Selvaraj,","(Department of Electrical and Electronics EngineeringNational Institute of TechnologyTiruchirappalli620015India),(Department of Electrical and Electronics EngineeringNational Institute of TechnologyTiruchirappalli620015India),(Department of Electrical and Electronics EngineeringNational Institute of TechnologyTiruchirappalli620015India),","India,India,India,India,India,India"
[Retracted] Interbank Offered Interest Rate Risk Measurement Based on Embedded Sensor Network,https://onlinelibrary.wiley.com/doi/10.1155/2022/5601513,2,Research Article,Wiley,,"Interbank lending rate is the main benchmark interest rate in the domestic currency market, looking for an appropriate financial time series model to describe its stochastic fluctuation process, and choosing an appropriate risk measurement method to measure the domestic interbank lending interest rate risk. The risk management of the interest rate market has great theoretical and practical significance. This article is aimed at studying the interbank interest rate risk measurement based on the embedded sensor network and proposes the key technology of sensor network, sensor network MAC layer protocol, LEACH energy model, and other methods in the article. Related experiments have been carried out on the interbank interest rate risk measurement. The experimental results show that the interbank interest rate risk measurement model based on the embedded sensor network is much more efficient than the traditional interest rate risk measurement model. This has reduced the bank’s loss of interest rate by at least 7%.",11 April 2022,Mobile Information Systems,"Wangsong Xie,","(Business School, Wuxi Taihu University, Wuxi, 214064 Jiangsu, China),",China
Toward Large-Scale Soil Moisture Monitoring Using Rail-Based Cosmic Ray Neutron Sensing,https://onlinelibrary.wiley.com/doi/10.1029/2022WR033514,5,Research Article,Wiley,"continuous soil moisture monitoring,soil moisture products,hydrological observations,automatic geophysical roving,root zone soil water,time-series soil water content mapping","Cosmic ray neutron sensing (CRNS) has become a promising method for soil water content (SWC) monitoring. Stationary CRNS offers hectare-scale average SWC measurements at fixed locations maintenance-free and continuous in time, while car-borne CRNS roving can reveal spatial SWC patterns at medium scales, but only on certain survey days. The novel concept of a permanent mobile CRNS system on rails promises to combine the advantages of both methods, while its technical implementation, data processing and interpretation raised a new level of complexity. This study introduced a fully automatic CRNS rail-borne system as the first of its kind, installed within the locomotive of a cargo train. Data recorded from September 2021 to July 2022 along an ∼9 km railway segment were analyzed, as repeatedly used by the train, supported by local SWC measurements (soil samples and dielectric methods), car-borne and stationary CRNS. The results revealed consistent spatial SWC patterns and temporary variation along the track at a daily resolution. The observed variability was mostly related to surface features, seasonal dynamics and different responses of the railway segments to wetting and drying periods, while some variations were related to measurement uncertainties. The achieved medium scale of SWC mapping could support large scale hydrological modeling and detection of environmental risks, such as droughts and wildfires. Hence, rail-borne CRNS has the chance to become a central tool of continuous SWC monitoring for larger scales (≤10-km), with the additional benefit of providing root-zone soil moisture, potentially even in sub-daily resolution.",15 February 2023,Water Resources Research,"Daniel Altdorff,Sascha E. Oswald,Steffen Zacharias,Carmen Zengerle,Peter Dietrich,Hannes Mollenhauer,Sabine Attinger,Martin Schrön,","(Institute of Environmental Science and Geography University of Potsdam Potsdam German),(UFZ Leipzig—Helmholtz Centre for Environmental Research GmbH Department of Computational Hydrosystems Leipzig Germany),(Institute of Environmental Science and Geography University of Potsdam Potsdam German),(Department for Monitoring and Exploration Technologies UFZ—Helmholtz Centre for Environmental Research GmbH Leipzig Germany),(Department for Monitoring and Exploration Technologies UFZ—Helmholtz Centre for Environmental Research GmbH Leipzig Germany),(Department for Monitoring and Exploration Technologies UFZ—Helmholtz Centre for Environmental Research GmbH Leipzig Germany),(Center for Applied Geoscience University of Tübingen Tübingen Germany),(Department for Monitoring and Exploration Technologies UFZ—Helmholtz Centre for Environmental Research GmbH Leipzig Germany),","Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany"
Trust in Intrusion Detection Systems: An Investigation of Performance Analysis for Machine Learning and Deep Learning Models,https://onlinelibrary.wiley.com/doi/10.1155/2021/5538896,17,Research Article,Wiley,,"To design and develop AI-based cybersecurity systems (e.g., intrusion detection system (IDS)), users can justifiably trust, one needs to evaluate the impact of trust using machine learning and deep learning technologies. To guide the design and implementation of trusted AI-based systems in IDS, this paper provides a comparison among machine learning and deep learning models to investigate the trust impact based on the accuracy of the trusted AI-based systems regarding the malicious data in IDs. The four machine learning techniques are decision tree (DT), K nearest neighbour (KNN), random forest (RF), and naïve Bayes (NB). The four deep learning techniques are LSTM (one and two layers) and GRU (one and two layers). Two datasets are used to classify the IDS attack type, including wireless sensor network detection system (WSN-DS) and KDD Cup network intrusion dataset. A detailed comparison of the eight techniques’ performance using all features and selected features is made by measuring the accuracy, precision, recall, and F1-score. Considering the findings related to the data, methodology, and expert accountability, interpretability for AI-based solutions also becomes demanded to enhance trust in the IDS.",08 March 2021,Complexity,"Basim Mahbooba,Radhya Sahal,Wael Alosaimi,Martin Serrano,","(Data Science Institute Insight Centre for Data Analytics, National University of Ireland Galway, Galway, Ireland nuigalway.ie),(Faculty of Computer Science and Engineering, Hodeidah University, Al Hudaydah, Yemen hoduniv.edu.ye),(Department of Information Technology, College of Computers and Information Technology, Taif University, P.O.Box 11099, Taif 21944, Saudi Arabia tu.edu.sa),(Data Science Institute Insight Centre for Data Analytics, National University of Ireland Galway, Galway, Ireland nuigalway.ie),","Ireland,Ireland,Saudi Arabia,Yemen"
ECaD: Energy-efficient routing in flying ad hoc networks,https://onlinelibrary.wiley.com/doi/10.1002/dac.4156,69,RESEARCH ARTICLE,Wiley,"connectivity,energy efficiency,flooding process,routing,simulation,UAV","Much progress can be expected in the domain of unmanned aerial vehicle (UAV) communication by the next decade. The cooperation between multiple UAVs in the air exchanging data among themselves can naturally form a flying ad hoc network (FANET). Such networks can be the key support to accomplish several kinds of missions while providing the required assistance to terrestrial networks. However, they are confronted with many challenges and difficulties, which are due to the high mobility of UAVs, the frequent packet losses, and the weak links between UAVs, all affecting the reliability of the data delivery. Furthermore, the unbalanced energy consumption may result in earlier UAV failure and consequently accelerate the decrease of the network lifetime, thus disrupting the overall network. This paper supports the use of the movement information and the residual energy level of each UAV to guarantee a high level of communication stability while predicting a sudden link breakage prior to its occurrence. A robust route discovery process is used to explore routing paths where the balanced energy consumption, the link breakage prediction, and the connectivity degree of the discovered paths are all considered. The performance of the scheme is evaluated through a series of simulations. The outcomes demonstrate the benefits of the proposed scheme in terms of increasing the lifetime of the network, minimizing the number of path failures, and decreasing the packet losses.",21 August 2019,International Journal of Communication Systems,"Omar Sami Oubbati,Mohammad Mozaffari,Noureddine Chaib,Pascal Lorenz,Mohammed Atiquzzaman,Abbas Jamalipour,","(Computer Science and Mathematics Laboratory University of Laghouat Laghouat Algeria),(Electrical and Computer Engineering Department Virginia Tech Blacksburg Virginia),(Computer Science and Mathematics Laboratory University of Laghouat Laghouat Algeria),(IUT of Colmar University of Haute Alsace Colmar France),(School of Computer Science University of Oklahoma Norman Oklahoma),(School of Electrical and Information Engineering University of Sydney Camperdown New South Wales Australia),","Australia,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,Algeria,France,France,France"
"A survey on packet size optimization for terrestrial, underwater, underground, and body area sensor networks",https://onlinelibrary.wiley.com/doi/10.1002/dac.3572,18,RESEARCH ARTICLE,Wiley,"cross-layer design,energy efficiency,network reliability,packet size optimization,wireless sensor networks","Packet size optimization is a critical issue in wireless sensor networks (WSNs) for improving many performance metrics (eg, network lifetime, delay, throughput, and reliability). In WSNs, longer packets may experience higher loss rates due to harsh channel conditions. On the other hand, shorter packets may suffer from greater overhead. Hence, the optimal packet size must be chosen to enhance various performance metrics of WSNs. To this end, many approaches have been proposed to determine the optimum packet size in WSNs. In the literature, packet size optimization studies focus on a specific application or deployment environment. However, there is no comprehensive and recent survey paper that categorizes these different approaches. To address this need, in this paper, recent studies and techniques on data packet size optimization for terrestrial WSNs, underwater WSNs, wireless underground sensor networks, and body area sensor networks are reviewed to motivate the research community to further investigate this promising research area. The main objective of this paper is to provide a better understanding of different packet size optimization approaches used in different types of sensor networks and applications as well as introduce open research issues and challenges in this area.",06 May 2018,International Journal of Communication Systems,"Melike Yigit,H. Ugur Yildiz,Sinan Kurt,Bulent Tavli,V. Cagri Gungor,","(Department of Computer Engineering Bahcesehir University Istanbul Turkey),(Department of Electrical and Electronics Engineering TED University Ankara Turkey),(Department of Electrical and Electronics Engineering TOBB University of Economics and Technology Ankara Turkey),(Department of Electrical and Electronics Engineering TOBB University of Economics and Technology Ankara Turkey),(Department of Computer Engineering Abdullah Gul University Kayseri Turkey),",
A Hyper-Heuristic Heterogeneous Multisensor Node Scheme for Energy Efficiency in Larger Wireless Sensor Networks Using DEEC-Gaussian Algorithm,https://onlinelibrary.wiley.com/doi/10.1155/2021/6658840,5,Research Article,Wiley,,"A wireless sensor network (WSN) is an intellect-sustainable network that comprises multiple spatially distributed sensor nodes and several sink nodes that collect data from sensors. WSNs remain an active research area in the literature due to challenging factors such as the selection of sensor location according to a given premise, finding optimal routing algorithm, and ensuring energy efficiency and consumption. Minimizing energy and prolonging the network lifetime in the WSNs are the focus of this research work. In the literature, a clustering approach is used in grouping sensor nodes into clusters and is seen as an effective technique used in optimizing energy consumption in WSNs. Hence, in this paper, we put forward a novel clustering-based approach by amalgamating the Gaussian elimination method with the Distributed Energy-Efficient Clustering to produce DEEC_Gaussian (DEEC_Gaus) to stabilize energy efficiency optimization in WSNs. We took the advantages of DEEC and Gaussian elimination algorithms to resolve energy efficiency problems in WSNs. DEEC presents attributes such as increased heterogeneity performance level, clustering stability in operation, and energy efficiency which helps to prolong network lifetime while the Gaussian elimination algorithm added an additional advantage to improve and optimize energy efficiency, to aggregate packets of operations performed in the network lifestyle of energy efficiency in WSNs. The simulations were carried out using MATLAB software with 1000 to 1500 nodes. The performance of the proposed work was compared with state-of-the-art algorithms such as DEEC, DDEEC, and EDEEC_E. The simulated results presented show that the proposed DEEC-Gauss outperformed the three other conventional algorithms in terms of network lifetime, first node dead, tenth node dead, alive nodes, and the overall timing of the packets received at the base station. The results showed that the proposed hyper-heuristic heterogeneous multisensor DEEC-Gauss algorithm presented an average percentage of 3.0% improvement for the tenth node dead (TND) and further improvement of 4.8% for the first node dead (FND). When the performance was compared to the state-of-the-art algorithms in larger networks, the overall delivery was greatly improved and optimized.",15 February 2021,Mobile Information Systems,"Oluwasegun Julius Aroba,Nalindren Naicker,Timothy Adeliyi,","(ICT and Society Research Group, Information Systems, Durban University of Technology, 4001 Durban, South Africa dut.ac.za),(ICT and Society Research Group, Information Systems, Durban University of Technology, 4001 Durban, South Africa dut.ac.za),(ICT and Society Research Group, Information Systems, Durban University of Technology, 4001 Durban, South Africa dut.ac.za),","South Africa,South Africa,South Africa"
Optimization of Wireless Sensor Network Architecture with Security System,https://onlinelibrary.wiley.com/doi/10.1155/2021/7886639,4,Research Article,Wiley,,"Wireless sensor network (WSN) is a new type of wireless network. It has many advantages, but there are some problems. These problems make it easier for attackers to analyze network security holes and attack and destroy entire networks. This article designs a security wireless sensor network model. It can resist most known network attacks without significantly reducing the energy power of sensor nodes. First, we cluster the network organization to reduce energy consumption. It also protects the network based on the calculation of trust levels and the establishment of trust relationships between trusted nodes and operates the trust management system based on a centralized method, secondly, on the basis of LEACH agreement, draws lessons from the principle of biological immune system, optimizes the wireless sensor network, and further proposes a new immune system structure suitable for wireless sensor networks. The experimental results show that the wireless sensor network model designed in this paper solves the high-efficiency and energy-saving design task, and the trust management system has satisfactory results in defending against attacks.",08 November 2021,Journal of Sensors,"Shanshan Wang,Yun Chen,","(School of Information Management and Engineering, Shanghai University of Finance and Economics, Shanghai 200433, China shufe.edu.cn),(Shanghai Key Laboratory of Financial Information Technology, Shanghai University of Finance and Economics, Shanghai 200433, China shufe.edu.cn),","China,China"
