title,link,number_of_citation,article_type,publisher,keyword,abstract,publish_date,publication_title,authors,affiliations,countries
A First Implementation of Underwater Communications in Raw Water Using the 433 MHz Frequency Combined with a Bowtie Antenna,https://doi.org/10.3390/s24206502,none,Article,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
"Internet of Things (IoT) Operating Systems Management: Opportunities, Challenges, and Solution",https://doi.org/10.3390/s24206502,none,Editorial,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
A Survey of Routing Protocols in WBAN for Healthcare Applications,https://doi.org/10.3390/s24206502,none,Review,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
An Improved Threshold-Sensitive Stable Election Routing Energy Protocol for Heterogeneous Wireless Sensor Networks,https://doi.org/10.3390/s24206502,none,Article,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
Wireless Sensor Networks for Big Data Systems,https://doi.org/10.3390/s24206502,none,Review,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
Green Computing in Sensors-Enabled Internet of Things: Neuro Fuzzy Logic-Based Load Balancing,https://doi.org/10.3390/s24206502,none,Article,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
Robust Wireless Sensor and Actuator Networks for Networked Control Systems,https://doi.org/10.3390/s24206502,none,Article,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
Innovative Technologies and Services for Smart Cities,https://doi.org/10.3390/s24206502,none,Editorial,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
Energy Efficient Routing Algorithm with Mobile Sink Support for Wireless Sensor Networks,https://doi.org/10.3390/s24206502,none,Article,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
Adaptive Makeup Transfer via Bat Algorithm,https://doi.org/10.3390/s24206502,none,Article,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
