title,link,number_of_citation,article_type,publisher,keyword,abstract,publish_date,publication_title,authors,affiliations,countries
Self-Organizing and Routing Approach for Condition Monitoring of Railway Tunnels Based on Linear Wireless Sensor Network,https://doi.org/10.3390/s24206502,none,Article,MDPI,"thick LWSN,network self-organizing,network clustering,routing protocol,energy consumption","
Abstract
Real-time status monitoring is crucial in ensuring the safety of railway tunnel traffic. The primary monitoring method currently involves deploying sensors to form a Wireless Sensor Network (WSN). Due to the linear characteristics of railway tunnels, the resulting sensor networks usually have a linear topology known as a thick Linear Wireless Sensor Network (LWSN). In practice, sensors are deployed randomly within the area, and to balance the energy consumption among nodes and extend the network’s lifespan, this paper proposes a self-organizing network and routing method based on thick LWSNs. This method can discover the topology, form the network from randomly deployed sensor nodes, establish adjacency relationships, and automatically form clusters using a timing mechanism. In the routing, considering the cluster heads’ load, residual energy, and the distance to the sink node, the optimal next-hop cluster head is selected to minimize energy disparity among nodes. Simulation experiments demonstrate that this method has significant advantages in balancing network energy and extending network lifespan for LWSNs.
",Accepted: 2 October 2024,Sensors,"Haibo Yang,Huidong Guo,Junying Jia,Zhengfeng Jia,Aiyang Ren","(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),(College of Information Science and Engineering, Shenyang University of Technology, Shenyang 110167, China),(Shenyang Key Laboratory of Advanced Computing and Application Innovation, Shenyang 110167, China),","China,China,China,China,China,China"
Green Communication in IoT for Enabling Next-Generation Wireless Systems,https://doi.org/10.3390/computers13100251,none,Article,MDPI,"IoT,energy optimization,genetic algorithm,antlion optimization,routing protocol,DSR,energy consumption","
Abstract
Recent developments and the widespread use of IoT-enabled technologies has led to the Research and Development (R&D) efforts in green communication. Traditional dynamic-source routing is one of the well-known protocols that was suggested to solve the information dissemination problem in an IoT environment. However, this protocol suffers from a high level of energy consumption in sensor-enabled device-to-device and device-to-base station communications. As a result, new information dissemination protocols should be developed to overcome the challenge of dynamic-source routing, and other similar protocols regarding green communication. In this context, a new energy-efficient routing protocol (EFRP) is proposed using the hybrid adopted heuristic techniques. In the densely deployed sensor-enabled IoT environment, an optimal information dissemination path for device-to-device and device-to-base station communication was identified using a hybrid genetic algorithm (GA) and the antlion optimization (ALO) algorithms. An objective function is formulated focusing on energy consumption-centric cost minimization. The evaluation results demonstrate that the proposed protocol outperforms the Greedy approach and the DSR protocol in terms of a range of green communication metrics. It was noticed that the number of alive sensor nodes in the experimental network increased by more than 26% compared to the other approaches and lessened energy consumption by about 33%. This leads to a prolonged IoT network lifetime, increased by about 25%. It is evident that the proposed scheme greatly improves the information dissemination efficiency of the IoT network, significantly increasing the network’s throughput.
",Accepted: 16 September 2024,Computers,"Mohammad Aljaidi,Omprakash Kaiwartya,Ghassan Samara,Ayoub Alsarhan,Mufti Mahmud,Sami M. Alenezi,Raed Alazaidah,Jaime Lloret","(Department of Computer Science, Faculty of Information Technology, Zarqa University, Zarqa 13110, Jordan),(Department of Computer Science, Nottingham Trent Unversity, Clifton Campus, Nottingham NG11 8NS, UK),(Department of Computer Science, Faculty of Information Technology, Zarqa University, Zarqa 13110, Jordan),(Department of Information Technology, Faculty of Prince Al-Hussein Bin Abdallah II for Information Technology, The Hashemite University, Zarqa 13116, Jordan),(Department of Computer Science, Nottingham Trent Unversity, Clifton Campus, Nottingham NG11 8NS, UK),(Faculty of Computing and Information Technology, Northern Border University, Arar 73213, Saudi Arabia),(Department of Computer Science, Faculty of Information Technology, Zarqa University, Zarqa 13110, Jordan),(Instituto de Investigación para la gestión Integrada de Zonas Costeras, Universitat Politècnica de Valencia, Camino Vera s/n, 46022 Valencia, Spain),","Spain,Jordan,Jordan,Saudi Arabia"
FloatingBlue: A Delay Tolerant Networks-Enabled Internet of Things Architecture for Remote Areas Combining Data Mules and Low Power Communications,https://doi.org/10.3390/s24196218,none,Article,MDPI,"IoT,DTN,BLE,UAV,low power communications","
Abstract
Monitoring vast and remote areas like forests using Wireless Sensor Networks (WSNs) presents significant challenges, such as limited energy resources and signal attenuation over long distances due to natural obstacles. Traditional solutions often require extensive infrastructure, which is impractical in such environments. To address these limitations, we introduce the “FloatingBlue” architecture. This architecture, known for its superior energy efficiency, combines Bluetooth Low Energy (BLE) technology with Delay Tolerant Networks (DTN) and data mules. It leverages BLE’s low power consumption for energy-efficient sensor broadcasts while utilizing DTN-enabled data mules to collect data from dispersed sensors without constant network connectivity. Deployed in a remote agricultural area in the Amazon region, “FloatingBlue” demonstrated significant improvements in energy efficiency and communication range, with a high Packet Delivery Ratio (PDR). The developed BLE beacon sensor achieved state-of-the-art energy consumption levels, using only 2.25 µJ in sleep mode and 11.8 µJ in transmission mode. Our results highlight “FloatingBlue” as a robust, low-power solution for remote monitoring in challenging environments, offering an energy-efficient and scalable alternative to traditional WSN approaches.
",Accepted: 11 September 2024,Sensors,"Ruan C. M. Teixeira,Celso B. Carvalho,Carlos T. Calafate,Edjair Mota,Rubens A. Fernandes,Andre L. Printes,Lennon B. F. Nascimento","(Postgraduate Program in Electrical Engineering, Federal University of Amazonas, Manaus 69080-900, Brazil),(Embedded Systems Laboratory, State University of Amazonas, Manaus 69050-020, Brazil),(Postgraduate Program in Electrical Engineering, Federal University of Amazonas, Manaus 69080-900, Brazil),(Universitat Politècnica de València, 46022 València, Spain),(Institute of Computing, Federal University of Amazonas, Manaus 69080-900, Brazil),(Embedded Systems Laboratory, State University of Amazonas, Manaus 69050-020, Brazil),(Embedded Systems Laboratory, State University of Amazonas, Manaus 69050-020, Brazil),(Embedded Systems Laboratory, State University of Amazonas, Manaus 69050-020, Brazil),","Brazil,Brazil,Brazil,Brazil,Brazil,Brazil,Spain"
Hardware Development and Evaluation of Multihop Cluster-Based Agricultural IoT Based on Bluetooth Low-Energy and LoRa Communication Technologies,https://doi.org/10.3390/s24186113,none,Article,MDPI,"Internet of Things (IoT),agricultural IoT (Agri-IoT),multihop cluster-based agricultural IoT (MCA-IoT)","
Abstract
In this paper, we present the development and evaluation of a contextually relevant, cost-effective, multihop cluster-based agricultural Internet of Things (MCA-IoT) network. This network utilizes commercial off-the-shelf (COTS) Bluetooth Low-Energy (BLE) and LoRa communication technologies, along with the Raspberry Pi 3 Model B+ (RPi 3 B+), to address the challenges of climate change-induced global food insecurity in smart farming applications. Employing the lean engineering design approach, we initially implemented a centralized cluster-based agricultural IoT (CA-IoT) hardware testbed incorporating BLE, RPi 3 B+, STEMMA soil moisture sensors, UM25 m, and LoPy low-power Wi-Fi modules. This system was subsequently adapted and refined to assess the performance of the MCA-IoT network. This study offers a comprehensive reference on the novel, location-independent MCA-IoT technology, including detailed design and deployment insights for the agricultural IoT (Agri-IoT) community. The proposed solution demonstrated favorable performance in indoor and outdoor environments, particularly in water-stressed regions of Northern Ghana. Performance evaluations revealed that the MCA-IoT technology is easy to deploy and manage by users with limited expertise, is location-independent, robust, energy-efficient for battery operation, and scalable in terms of task and size, thereby providing a versatile range of measurements for future applications. Our results further demonstrated that the most effective approach to utilizing existing IoT-based communication technologies within a typical farming context in sub-Saharan Africa is to integrate them.
",Accepted: 19 September 2024,Sensors,"Emmanuel Effah,George Ghartey,Joshua Kweku Aidoo,Ousmane Thiare","(Computer Science and Engineering Department, University of Mines and Technology, Tarkwa P.O. Box 237, Ghana),(The First Author contributed 70% while the remaining Authors unequally contributed 30% to this work.),(Computer Science and Engineering Department, University of Mines and Technology, Tarkwa P.O. Box 237, Ghana),(Computer Science and Engineering Department, University of Mines and Technology, Tarkwa P.O. Box 237, Ghana),(Department of Informatics, Gaston Berger University, Saint-Louis PB 234, Senegal),","Ghana,Senegal"
The Potential of Deep Learning in Underwater Wireless Sensor Networks and Noise Canceling for the Effective Monitoring of Aquatic Life,https://doi.org/10.3390/s24186102,none,Article,MDPI,"adaptive integrated filters,deep learning,noise cancellation,UWSNs,monitor aquatic life","
Abstract
This paper describes a revolutionary design paradigm for monitoring aquatic life. This unique methodology addresses issues such as limited memory, insufficient bandwidth, and excessive noise levels by combining two approaches to create a comprehensive predictive filtration system, as well as multiple-transfer route analysis. This work focuses on proposing a novel filtration learning approach for underwater sensor nodes. This model was created by merging two adaptive filters, the finite impulse response (FIR) and the adaptive line enhancer (ALE). The FIR integrated filter eliminates unwanted noise from the signal by obtaining a linear response phase and passes the signal without distortion. The goal of the ALE filter is to properly separate the noise signal from the measured signal, resulting in the signal of interest. The cluster head level filters are the adaptive cuckoo filter (ACF) and the Kalman filter. The ACF assesses whether an emitter node is part of a set or not. The Kalman filter improves the estimation of state values for a dynamic underwater sensor networking system. It uses distributed learning long short-term memory (LSTM-CNN) technology to ensure that the anticipated value of the square of the gap between the prediction and the correct state is the smallest possible. Compared to prior methods, our suggested deep filtering–learning model achieved 98.5% of the sensory filtration method in the majority of the obtained data and close to 99.1% of an adaptive prediction method, while also consuming little energy during lengthy monitoring.
",Accepted: 16 September 2024,Sensors,"Walaa M. Elsayed,Maazen Alsabaan,Mohamed I. Ibrahem,Engy El-Shafeiy","(Department of Information Technology, Faculty of Computers and Informatics, Damanhour University, Damanhour 22511, Egypt),(Department of Computer Engineering, College of Computer and Information Sciences, King Saud University, Riyadh 11543, Saudi Arabia),(School of Computer and Cyber Sciences, Augusta University, Augusta, GA 30912, USA),(Department of Electrical Engineering, Faculty of Engineering at Shoubra, Benha University, Cairo 11672, Egypt),(Department of Computer Science, Faculty of Computers and Artificial Intelligence, University of Sadat City, Sadat City 32897, Monufia, Egypt),","Egypt,Egypt,Egypt,Saudi Arabia"
WSN Energy Control by Holonic Dynamic Reconfiguration: Application to the Sustainability of Communicating Materials,https://doi.org/10.3390/su16188193,none,Article,MDPI,"IoT energy efficiency,complex system reconfiguration,holonic control architecture,wireless sensor network,communicating materials","
Abstract
Various works propose solutions addressing the sustainability of IoT technologies to reduce their energy consumption, especially in the domain of wireless sensor networks. The diversity of applications, as well as the variability of their long-term constraints, forces them to dynamically adapt the network through time. Accordingly, this study formalizes the SADHoA-WSN framework to tackle the reconfiguration process. This proposal is a dynamic Holonic Control Architecture, linking the physical network evolution to the decisions made by a virtual multi-agent control system. The potential of such an approach is demonstrated by applying this framework to the energy optimization of communicating materials, i.e., materials equipped with inner wireless sensor nodes. The first implemented components of SADHoA-WSN and their related experimental results validate it as a promising energy-efficient dynamic methodology. This work lays the groundwork for optimized energy control in IoT networks.
",Accepted: 10 September 2024,Sustainability,"William Derigent,Michaël David,Pascal André,Olivier Cardin,Salma Najjar","(Université de Lorraine, CRAN CNRS UMR 7039, Campus Sciences, Boulevard des Aiguillettes, 54506 Vandœuvre-lès-Nancy, France),(Université de Lorraine, CRAN CNRS UMR 7039, Campus Sciences, Boulevard des Aiguillettes, 54506 Vandœuvre-lès-Nancy, France),(Nantes Université, CNRS, LS2N, UMR 6004, F-44000 Nantes, France),(Nantes Université, CNRS, LS2N, UMR 6004, F-44000 Nantes, France),(Université de Lorraine, CRAN CNRS UMR 7039, Campus Sciences, Boulevard des Aiguillettes, 54506 Vandœuvre-lès-Nancy, France),",France
Variational Autoencoders for Network Lifetime Enhancement in Wireless Sensors,https://doi.org/10.3390/s24175630,none,Article,MDPI,"data aggregation,energy optimization,data transmission,autoencoder,data compression","
Abstract
Wireless sensor networks (WSNs) are structured for monitoring an area with distributed sensors and built-in batteries. However, most of their battery energy is consumed during the data transmission process. In recent years, several methodologies, like routing optimization, topology control, and sleep scheduling algorithms, have been introduced to improve the energy efficiency of WSNs. This study introduces a novel method based on a deep learning approach that utilizes variational autoencoders (VAEs) to improve the energy efficiency of WSNs by compressing transmission data. The VAE approach is customized in this work for compressing WSN data by retaining its important features. This is achieved by analyzing the statistical structure of the sensor data rather than providing a fixed-size latent representation. The performance of the proposed model is verified using a MATLAB simulation platform, integrating a pre-trained variational autoencoder model with openly available wireless sensor data. The performance of the proposed model is found to be satisfactory in comparison to traditional methods, like the compressed sensing technique, lightweight temporal compression, and the autoencoder, in terms of having an average compression rate of 1.5572. The WSN simulation also indicates that the VAE-incorporated architecture attains a maximum network lifetime of 1491 s and suggests that VAE could be used for compression-based transmission using WSNs, as its reconstruction rate is 0.9902, which is better than results from all the other techniques.
",Accepted: 1 August 2024,Sensors,"Boopathi Chettiagounder Sengodan,Prince Mary Stanislaus,Sivakumar Sabapathy Arumugam,Dipak Kumar Sah,Dharmesh Dhabliya,Poongodi Chenniappan,James Deva Koresh Hezekiah,Rajagopal Maheswar","(Department of Electrical and Electronics Engineering, SRM Institute of Science and Technology, Kattankulathur 603 203, Tamil Nadu, India),(Department of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai 600 119, Tamil Nadu, India),(Department of Electronics and Communication Engineering, Ashoka Women’s Engineering College, Kurnool 518 002, Andhra Pradesh, India),(Department of Computer Engineering and Applications, GLA University, Mathura 281 406, Uttar Pradesh, India),(Department of Information Technology, Vishwakarma Institute of Information Technology, Pune 411 048, Maharastra, India),(Department of Electronics and Communication Engineering, Bannari Amman Institute of Technology, Sathyamangalam 638 401, Tamil Nadu, India),(Department of Electronics and Communication Engineering, Centre for IoT and AI (CITI), KPR Institute of Engineering and Technology, Coimbatore 641 407, Tamil Nadu, India),(Department of Electronics and Communication Engineering, Centre for IoT and AI (CITI), KPR Institute of Engineering and Technology, Coimbatore 641 407, Tamil Nadu, India),",India
Optimizing Rule Weights to Improve FRBS Clustering in Wireless Sensor Networks,https://doi.org/10.3390/s24175548,none,Article,MDPI,"wireless sensor network,fuzzy logic,clustering","
Abstract
Wireless sensor networks (WSNs) are usually composed of tens or hundreds of nodes powered by batteries that need efficient resource management to achieve the WSN’s goals. One of the techniques used to manage WSN resources is clustering, where nodes are grouped into clusters around a cluster head (CH), which must be chosen carefully. In this article, a new centralized clustering algorithm is presented based on a Type-1 fuzzy logic controller that infers the probability of each node becoming a CH. The main novelty presented is that the fuzzy logic controller employs three different knowledge bases (KBs) during the lifetime of the WSN. The first KB is used from the beginning to the instant when the first node depletes its battery, the second KB is then applied from that moment to the instant when half of the nodes are dead, and the last KB is loaded from that point until the last node runs out of power. These three KBs are obtained from the original KB designed by the authors after an optimization process. It is based on a particle swarm optimization algorithm that maximizes the lifetime of the WSN in the three periods by adjusting each rule in the KBs through the assignment of a weight value ranging from 0 to 1. This optimization process is used to obtain better results in complex systems where the number of variables or rules could make them unaffordable. The results of the presented optimized approach significantly improved upon those from other authors with similar methods. Finally, the paper presents an analysis of why some rule weights change more than others, in order to design more suitable controllers in the future.
",Accepted: 26 August 2024,Sensors,"Jose-Enrique Muñoz-Exposito,Antonio-Jesus Yuste-Delgado,Alicia Triviño-Cabrera,Juan-Carlos Cuevas-Martinez","(Department of Telecommunication Engineering, Universidad de Jaén, 23700 Linares, Spain),(Current address: Escuela Politécnica Superior de Linares, Universidad de Jaén, Avenida de la Universidad s/n, 23700 Linares, Spain.),(Department of Telecommunication Engineering, Universidad de Jaén, 23700 Linares, Spain),(Current address: Escuela Politécnica Superior de Linares, Universidad de Jaén, Avenida de la Universidad s/n, 23700 Linares, Spain.),(Department of Electrical Engineering, Universidad de Málaga, 29071 Málaga, Spain),(Current address: Escuela de Ingenierías Industriales, Universidad de Málaga, Campus de Teatinos, C/Doctor Ortiz Ramos s/n, 29071 Málaga, Spain.),(Department of Telecommunication Engineering, Universidad de Jaén, 23700 Linares, Spain),(Current address: Escuela Politécnica Superior de Linares, Universidad de Jaén, Avenida de la Universidad s/n, 23700 Linares, Spain.),","Spain,Spain,Spain,Spain,Spain"
Review of Smart-Home Security Using the Internet of Things,https://doi.org/10.3390/electronics13163343,none,Review,MDPI,"smart home,security,privacy,resilience","
Abstract
As the Internet of Things (IoT) continues to revolutionize the way we interact with our living spaces, the concept of smart homes has become increasingly prevalent. However, along with the convenience and connectivity offered by IoT-enabled devices in smart homes comes a range of security challenges. This paper explores the landscape of smart-home security. In contrast to similar surveys, this study also examines the particularities of popular categories of smart devices, like home assistants, TVs, AR/VR, locks, sensors, etc. It examines various security threats and vulnerabilities inherent in smart-home ecosystems, including unauthorized access, data breaches, and device tampering. Additionally, the paper discusses existing security mechanisms and protocols designed to mitigate these risks, such as encryption, authentication, and intrusion-detection systems. Furthermore, it highlights the importance of user awareness and education in maintaining the security of smart-home environments. Finally, the paper proposes future research directions and recommendations for enhancing smart-home security with IoT, including the development of robust security best practices and standards, improved device authentication methods, and more effective intrusion-detection techniques. By addressing these challenges, the potential of IoT-enabled smart homes to enhance convenience and efficiency while ensuring privacy, security, and cyber-resilience can be realized.
",Accepted: 19 July 2024,Electronics,"George Vardakis,George Hatzivasilis,Eleftheria Koutsaki,Nikos Papadakis","(Department of Electrical and Computer Engineering, Estavromenos Campus, Hellenic Mediterranean University, 71410 Heraklion, Greece),(Department of Electrical and Computer Engineering, Kounoupidiana Campus, Technical University of Crete, 73100 Chania, Greece),(Department of Electrical and Computer Engineering, Estavromenos Campus, Hellenic Mediterranean University, 71410 Heraklion, Greece),(Department of Electrical and Computer Engineering, Estavromenos Campus, Hellenic Mediterranean University, 71410 Heraklion, Greece),",Greece
Energy-Efficient Clustering in Wireless Sensor Networks Using Grey Wolf Optimization and Enhanced CSMA/CA,https://doi.org/10.3390/s24165234,none,Article,MDPI,"wireless sensor networks,medium access control,routing protocols,cross-layer protocols,energy consumption","
Abstract
Survivability is a critical concern in WSNs, heavily influenced by energy efficiency. Addressing severe energy constraints in WSNs requires solutions that meet application goals while prolonging network life. This paper presents an Energy Optimization Approach (EOAMRCL) for WSNs, integrating the Grey Wolf Optimization (GWO) for enhanced performance. EOAMRCL aims to enhance energy efficiency by selecting the optimal duty-cycle schedule, transmission power, and routing paths. The proposed approach employs a centralized strategy using a hierarchical network architecture. During the cluster formation phase, an objective function, augmented with GWO, determines the ideal cluster heads (CHs). The routing protocol then selects routes with minimal energy consumption for data transmission to CHs, using transmission power as a metric. In the transmission phase, the MAC layer forms a duty-cycle schedule based on cross-layer routing information, enabling nodes to switch between active and sleep modes according to their network allocation vectors (NAVs). This process is further optimized by an enhanced CSMA/CA mechanism, which incorporates sleep/activate modes and pairing nodes to alternate between active and sleep states. This integration reduces collisions, improves channel assessment accuracy, and lowers energy consumption, thereby enhancing overall network performance. EOAMRCL was evaluated in a MATLAB environment, demonstrating superior performance compared with EEUC, DWEHC, and CGA-GWO protocols, particularly in terms of network lifetime and energy consumption. This highlights the effectiveness of integrating GWO and the updated CSMA/CA mechanism in achieving optimal energy efficiency and network performance.
",Accepted: 11 August 2024,Sensors,"Mohammed Kaddi,Mohammed Omari,Khouloud Salameh,Ali Alnoman","(LDDI Laboratory, Mathematics and Computer Science Department, University of Adrar, Adrar 01000, Algeria),(Computer Science and Engineering Department, American University of Ras Al Khaimah, Ras Al Khaimah P.O. Box 10021, United Arab Emirates),(Computer Science and Engineering Department, American University of Ras Al Khaimah, Ras Al Khaimah P.O. Box 10021, United Arab Emirates),(Computer Science and Engineering Department, American University of Ras Al Khaimah, Ras Al Khaimah P.O. Box 10021, United Arab Emirates),","United Arab Emirates,United Arab Emirates,United Arab Emirates,Algeria"
