title,link,number_of_citation,article_type,publisher,keyword,abstract,publish_date,publication_title,authors,affiliations,countries
A Cognitive Multi-hop Clustering Approach for Wireless Sensor Networks,https://link.springer.com/article/10.1007/s11277-016-3200-5,24,article,Springer,"Wireless sensor networks,Clustering,Fuzzy logic,Multi-hop network,Energy consumption","Wireless sensor networks (WSNs) exert a pull on the modern research community towards many design challenges,
 especially, constraints on their lifetimes. Solutions proposed to save energy in WSNs posses their own merits and limitations. The trends evolved from the perspective of improving performance and scalability of conventional clustering approaches. They emerge by adopting cognitive techniques to handle uncertainty and instability present in the application atmosphere. This paper proposes a clustering approach for WSNs, namely, energy aware fuzzy clustering algorithm (EAFCA) which achieves lifetime enhancement in CH election, data aggregation and inter-cluster traffic phases of a multi-hop WSN environment. This algorithm contributes the process of cluster head (CH) election in a cluster in an energy-efficient manner by considering the residual energy, mean distance to 1-hop neighbors and 2-hop coverage of the competing nodes. The elected CH aggregates the data from all the sensor nodes of its cluster and forwards the same to the base station. Performance evaluation of the proposed EAFCA is done with popular clustering algorithms and the experimental results show improvement in terms of lifetime of WSNs under first node dies and half of the nodes alive scenarios.",12 February 2016,Wireless Personal Communications,"I. S. Akila,R. Venkatesan","(Department of ECE,Coimbatore Institute of Technology,Coimbatore,641014,India),(Department of CSE,PSG College of Technology,Coimbatore,641004,India)","India,India"
Cross-Layer Protocol for WSN-Assisted IoT Smart Farming Applications Using Nature Inspired Algorithm,https://link.springer.com/article/10.1007/s11277-021-08866-6,78,article,Springer,"Bacterial foraging optimization,Clustering,Cross-layer parameters,Internet-of-things,Industry 4.0,Routing optimization,Smart farming","The Internet of Things (IoT) is a subclass of the Industry 4.0 standard. The functionality of IoT depends on the Wireless Sensor Networks (WSNs) design. The IoT-empowered WSNs received the researcher's attention for the Smart Farming (SF) applications. SF nowadays is required to enhance farm productivity while minimizing the cost and resources. The agriculture sensors devices disposed over the farm collect the on-field farm data and transfer it wirelessly to the base station for decision-making and agriculture monitoring. As the nodes are resource restrained, the process of periodic farm data gathering and multi-hop delivery needs to be effective in terms of Quality of Service (QoS) and energy-efficiency of information transmission by reflecting the long-distance transmission difficulties of SF applications. To enhance the network lifetime substantially of densely deployed WSN for periodically monitoring of farm conditions, we propose a novel Nature-Inspired algorithm-based Cross-layer Clustering (NICC) protocol. We design NICC to find a reasonably better solution for clustering and routing in SF applications. NICC explores the idea of a nature-inspired optimization algorithm called Bacterial Foraging Optimization (BFO) with optimal fitness function, which models the trade-off among the energy efficiency and optimal data transmission. We design a BFO algorithm to select the optimal sensor node for clustering and routing problems based on cross-layer parameters-based fitness value computation. The cross-layer parameter includes the sensor parameters from layers like network layer, physical layer, and Medium Access Control (MAC). The numerical results show the superiority of the NICC protocol for various WSN-assisted SF scenarios against state-of-art clustering techniques.",18 August 2021,Wireless Personal Communications,"Hemant B. Mahajan,Anil Badarla","(University of Technology,Jaipur,India),(Computer Science and Engineering Department,University of Technology,Jaipur,India)","India,India"
A Comprehensive Review on Scheduling Based Approaches for Target Coverage in WSN,https://link.springer.com/article/10.1007/s11277-021-09281-7,7,article,Springer,"Wireless sensor networks,Target coverage,Energy efficiency,Node scheduling,Quality of service,Reliability,Trust","Wireless sensor network (WSN) is an emerging research field in recent years. The advancement in sensory device and communication technologies has enabled the deployment of diverse sensor networks such as random network consisting of thousand sensors or carefully deployed deterministic network. Despite the plethora of applicability of sensor networks, there are some limitations too such as energy efficiency, lifetime, coverage, localization etc. As the sensor nodes are battery driven so conservation of energy becomes crucial in the hazardous applications. Coverage is also considered as the major quality of service (QoS) metric which aim to maximize the observation quality of the target region. Several approaches have been proposed in the literature to address the coverage problem but most of the approaches have the same objective to achieve the maximum lifetime while ignoring the QoS parameters. The real world applications of WSN require addressing of several QoS parameters too such as reliability, throughput, delay in packet transmission etc. This review paper provides the exhaustive study of the coverage problem concepts, issues and challenges. The paper provides the classification of coverage approaches especially related to that of target coverage. The paper provides a comprehensive comparison of different categories of target coverage approaches. The paper also discusses the future research direction in the field of target coverage which also considers the QoS considerations.",29 October 2021,Wireless Personal Communications,"Pooja Chaturvedi,A. K. Daniel","(Institute of Technology,Nirma University,Ahmedabad,India),(Madan Mohan Malaviya University of Technology,Gorakhpur,India)","India,India"
Nature-inspired adaptive decision support system for secured clustering in cyber networks,https://link.springer.com/article/10.1007/s11042-022-13336-7,3,article,Springer,"Nature-inspired cyber security,Adaptive defense,Nature-inspired decision support system,Secure clustering,Optimization","The Internet of Things (IoT) technology has proved that Wireless Sensor Networks (WSN) is important for all IoT application areas. WSN combined with other advanced technologies like Artificial Intelligence (AI) brings automation via the sensing, transmitting, and monitoring steps. However, the cyber threats such as Malware, Distributed Denial of Service Attack (DDoS), and Man in the Middle (MitM), etc. limits the potential of such networks. Several security methods were introduced in last decade to protect the WSN from various cyber threats; however, due to resource-constrained sensor nodes, designing the energy-efficient security algorithm for WSN is a widely studied research problem. In the proposed work, a novel Nature-inspired Decision Support System for Secure Clustering (NIDSC) is proposed to overcome the security issues with minimum resource consumptions and computational overhead. In NIDSC, a hybrid trust model is designed to evaluate each sensor node before selecting Cluster Head (CH) by measuring various sensor node parameters, to achieve a reliable decision support system which classifies each node as either legitimate or attacker. Later, the proposed decision support system along with clustering optimization is formulated for CH selection using a natural evolution-based hybrid trust model. Due to its fast convergence over other optimization algorithms, the nature-inspired Differential Evolution (DE) algorithm is used to perform Decision Support System (DSS) for optimal and secure WSN clustering. The proposed method is a lightweight trust-based decision-making method for Quality of Service (QoS) clustering to establish secure data transmission in intra-cluster and/or inter-cluster communication. The simulation is carried out to analyze and compare the performance of the proposed method with the existing works such as Low Energy Adaptive Clustering Hierarchy(LEACH), Trust Management System (TMS), and Energy-efficient Trusted Moth Flame Optimization and Genetic Algorithm based clustering algorithm(eeTMFO/GA). The comparisons were mainly focused on throughput, Packet Delivery Ratio (PDR), delay, communication overhead, and energy consumption to validate the performance of the proposed method. The experimental results found that the proposed method has got improved throughput value (~3 kbps), improved PDR (~4%), minimum delay (~0.01 seconds), less communication overhead (~0.75 ms, and less energy consumption (~0.003 joules) as compared to the existing methods on various testcase scenarios.",06 July 2022,Multimedia Tools and Applications,"Shahana Gajala Qureshi,Shishir Kumar Shandilya","(School of Computing Science and Engineering,VIT Bhopal University,Bhopal,India)",India
CS-CGMP: Clustering Scheme Using Canada Geese Migration Principle for Routing in Wireless Sensor Networks,https://link.springer.com/article/10.1007/s11277-020-07632-4,6,article,Springer,"Wireless sensor networks,Canada Geese,Clustered routing,Energy aware routing,Energy efficient routing,Clustering scheme","Recently, researchers focus on wireless sensor networks (WSNs) as it plays a vital role in numerous applications. Node energy is one of the resource constraints of WSN. Hence, it is significantly important to design an energy efficient routing. In this paper, a Clustering Scheme using Canada Geese Migration Principle (CS-CGMP) has been proposed for routing in WSNs. In this approach, the network field is partitioned into zones and number of Cluster Heads (CHs) are selected based on the density of each zone. CGMP is applied for CH rotation. If residual energy of a CH is below threshold value, it has to be rotated to a member node which has high energy. Further, the optimal number of CHs required is assured in every round. CS-CGMP based approach was simulated and the performance parameters with respect to network lifetime, number of alive nodes, number of packets transferred to the BS and CH were analysed by comparing with LEACH-C, (ACH)\(^2\), and DEEC.",16 July 2020,Wireless Personal Communications,"A. Kavitha,R. Leela Velusamy,Koppala Guravaiah","(Department of Computer Science and Engineering,National Institute of Technology,Tiruchirapalli,Tamilnadu,620015,India),(Department of Computer Science and Engineering,Indian Institute of Information Technology Kottayam,Kottayam,Kerala,686635,India)","India,India"
An HEED-Based Study of Cell-Clustered Algorithm in Wireless Sensor Network for Energy Efficiency,https://link.springer.com/article/10.1007/s11277-014-2134-z,19,article,Springer,"Cell-clustered WSN,Energy balance,Network lifetime,Hierarchy network,Power distribution","Unbalanced energy consumption of sensor nodes in wireless sensor network (WSN) leads to the formation of hotspots that can shorten network lifetime. Based on the study of hybrid energy-efficient distributed (HEED) clustering, a cell-clustered algorithm for energy efficiency (CC-HEED) is proposed to save the limited network energy in WSN. According to the power consumption model, the inner cluster regions in this hierarchy network are further divided into several cell-shaped areas, in which cell nodes are brought out to assemble the data in each cell area. In addition, comparisons are performed on network lifetime with other traditional routing algorithms to verify the validity of the routing protocol. Simulation results show that the proposed CC-HEED can significantly reduce energy consumption in WSN, and network lifetime is prolonged notably with high energy efficiency.",26 October 2014,Wireless Personal Communications,"Guangbing Xiao,Ning Sun,Liya Lv,Jianxiao Ma,Yong Chen","(College of Automobile and Traffic Engineering,Nanjing Forestry University,Nanjing,210037,China),(College of Mechanical and Electronic Engineering,Nanjing Forestry University,Nanjing,210037,China)","China,China"
Increasing Energy Efficiency in Wireless Sensor Networks Using GA-ANFIS to Choose a Cluster Head and Assess Routing and Weighted Trusts to Demodulate Attacker Nodes,https://link.springer.com/article/10.1007/s10699-019-09593-9,8,article,Springer,"Wireless sensor network,Genetic algorithm,Adaptive neuro-fuzzy inference system,Fuzzy,LEACH","Demodulating harmful nodes and diminishing the energy waste in sensor nodes can prolong the lifespan of wireless sensor networks (WSNs). In this study, a genetic algorithm (GA) and an adaptive neuro fuzzy inference system were used to diminish the energy waste of sensors. Weighted trust evaluation was applied to search for harmful nodes in the network to prolong the lifespan of WSNs. A low-energy adaptive clustering hierarchy method was used to analyze the results. It was discovered that searching for harmful nodes with GA-ANFIS using weighted trust evaluation significantly increased the lifespan of WSNs. For evaluation of the proposed method we used the mean of energy of all sensors against of the round, data packets received in base station, minimum energy versus rounds and number of alive sensors versus rounds. Also, in this paper we compared the proposed method results with LEACH, LEACH-DT, Random, SIF and GA-Fuzzy methods. As results the proposed method has high life time than other methods. A representation of the overall system was implemented using MATLAB software.",01 March 2019,Foundations of Science,"Shaymaa Al Hayali,Osman N. Ucan,Oguz Bayat,Javad Rahebi","(Department of Electrical and Computer Engineering,Altinbas University,34218,Istanbul,Turkey),(Department of Electrical and Electronics Engineering,University of Turkish Aeronautical Association,06790,Ankara,Turkey)",
Distributed Uneven Clustering Mechanism for Energy Efficient WSN,https://link.springer.com/article/10.1007/s11277-021-08628-4,3,article,Springer,"Uneven clustering,Node cooperativeness factor,Fuzzy interference system,Energy density factor,Link failure prediction,Wireless Sensor Network","Wireless Sensor Network is equipped with several nodes and is mainly developed for monitoring environmental-oriented applications. Generally, sensor nodes are inbuilt with autonomy battery power so that nodes can perform adequate operations by communicating among themselves. Minimization of energy expenditure among nodes and choosing the optimal path for data transmission is still a challenging task. The motive is to reduce the energy expenditure among each node and to reduce the network traffic among the nodes present nearer to the Base Station simultaneously. Distributed, Uneven Clustering approach with Energy Efficient protocol is proposed for balancing network traffic and to produces energy-efficient routes among wireless nodes. This proposed mechanism contributes two phases, namely Distributed Clustering phase and the Data Routing phase. The sensor node has the highest cooperativeness rate, data transmission rate, and residual energy is selected as a CH and backup CH for balancing the network load and overall energy consumption of the network. In this approach, select the intermediate CH using Fuzzy Interference System is predicting the sensor link quality by energy density factor, Communication rate, Packet delivery rate, and size of queue parameters. The performance metrics are evaluated, improving energy efficiency and throughput is given for the proposed mechanism.",30 June 2021,Wireless Personal Communications,"L. Manoharan,A. Ezil Sam Leni","(Sathyabama Institute of Science and Technology,Chennai,India),(Department of CSE,Jeppiaar SRR Engineering College,Chennai,India)","India,India"
MLIDS: Machine Learning Enabled Intrusion Detection System for Health Monitoring Framework Using BA-WSN,https://link.springer.com/article/10.1007/s10776-022-00574-7,10,article,Springer,"BA-WSN,Health monitoring,WSN-DS,DoS,IDS","Health monitoring using Body Area Wireless Sensor Network (BA-WSN) has gained immense popularity due to usability, ubiquitous support, and real-time performance. It is a special kind of Wireless Sensor Network (WSN) that spans over the human body. Although BA-WSN is very useful but it may suffer from security and privacy issues due to compromised sensor nodes by intruders. To design a secure BA-WSN based health monitoring system, it is required to filter out malicious data packets generated by the compromised nodes. An intrusion Detection System (IDS) can be utilized for this purpose. This paper presents a Machine Learning based Intrusion Detection System (MLIDS) for BA-WSN based health monitoring framework. Specialized dataset WSN-DS has been used to train the intrusion detection model. Dataset contains four security attacks such as Blackhole attack, Grayhole attack, Scheduling attack, Flooding attack data as well as normal data packets which are simulated using Network Simulator-2. Five well-known classification algorithms such as Random Forest, kNN, SVM, J48, and Naive Bayes have been applied for the selection and generation of the best model in terms of detection accuracy. Experimental results prove that Random Forest based Intrusion Detection Model has the highest classification accuracy of 99.67%, 98.7%, 92.7%, 98.9%, 99.9% for Blackhole attack, Flooding attack, Scheduling attack, Grayhole attack as well normal packet respectively. Experimental results also show that our achieved results outperform relevant work in terms of accuracy.",19 August 2022,International Journal of Wireless Information Networks,"Sohail Saif,Koushik Karmakar,Suparna Biswas,Sarmistha Neogy","(Department of Computer Science & Engineering (Cyber Security),Haldia Institute of Technology,Haldia,West Bengal,India),(Department of Computer Science & Engineering,Narula Institute of Technology,Kolkata,West Bengal,India),(Department of Computer Science & Engineering,Maulana Abul Kalam Azad University of Technology,Kolkata,West Bengal,India),(Department of Computer Science & Engineering,Jadavpur University,Kolkata,West Bengal,India)","India,India,India,India"
Multi-objective Binary Reinforced Cuckoo Search Algorithm for Solving Connected Coverage target based WSN with Critical Targets,https://link.springer.com/article/10.1007/s11277-021-08824-2,8,article,Springer,"Connected Coverage,Target based WSN,Multi-Objective,Reinforced Cuckoo Search Algorithm,Critical targets","In the stream of WSN, covering the targets using sensors and communication among the sensors to forward the data packets is a prime challenge due to the sparse target locations. Dedicated sensors lead more installation cost and significant amount of maintenance needs to be charged. Coverage of multiple targets by few sensors leads to network failure in case if any sensor runs out of power. Targets in sparse region also should be considered into account while sensing the environment. Hence in this paper, an effective multi-objective connected coverage target based WSN algorithm is proposed namely Multi-Objective Binary Cuckoo Search algorithm. The proposed model also handles the critical targets in the given sensing region. The algorithms hold the potentiality to handle minimized sensor deployment, maximized coverage and connectivity cost simultaneously. The proposed model is compared with the state of art algorithms to prove its significance. Two dedicated simulation region is developed in a large scale to examine the efficiency of the proposed algorithm. The results shows the significance of the proposed model over existing algorithms.",27 August 2021,Wireless Personal Communications,"Kalaipriyan Thirugnanasambandam,R. S. Raghav,Dinesh Kumar Anguraj,D. Saravanan,S. Janakiraman","(School of Computer Science and Engineering,VIT University,Chennai Campus,Chennai,Tamil Nadu,India),(School of Computing,SASTRA Deemed University,Thanjavur,Tamil Nadu,India),(Department of Computer Science and Engineering,Koneru Lakshmaiah Education Foundation,Vaddeswaram,Guntur,Andhra Pradesh,India),(School of Computing Science and Engineering,VIT Bhopal University,Kothri Kalan,Sehore,Madhya Pradesh,India),(Department of Banking Technology,Pondicherry University,Pondicherry,India)","India,India,India,India,India"
