title,link,number_of_citation,article_type,publisher,keyword,abstract,publish_date,publication_title,authors,affiliations,countries
Energy-Efficient MAC-ROUTE Cross-layer Optimal Distance Chain Protocol for Wireless Sensor Network,https://link.springer.com/chapter/10.1007/978-981-15-2926-9_51,none,conference,Springer,none,"Sensor nodes in wireless sensor networks (WSNs) are tiny devices with limited energy, computing ability, storage capacity, sensing capacity, and movement. The main issues accountable for energy expenditure in WSNs are numerous; among them, unnecessary high transmission range is the important issue to address. This chapter explores to optimize the energy consumption across MAC and network layers to prolong the lifetime of WSN. The energy efficiency must be supported across MAC, and network layers of protocol stack through a cross-layer design are highlighted in this work. In this context, designed MAC-ROUTE cross-layer technique for chain-based protocol addressed unnecessary high transmission range. The simulation is carried out using MATLAB, and it is observed that proposed protocol is efficient than existing chain-based routing protocols of WSN. The simulation result shows that proposed protocol accomplishes maximum network lifetime compared to existing chain-based routing protocols.",29 April 2020,Optical and Wireless Technologies,"P. M. Prathibhavani,T. G. Basavaraju","(Department of CSE,UVCE,Bangalore,India),(Department of CSE,Govt. S K S J T I,Bangalore,India)","India,India"
Cluster Localization of Sensor Nodes Using Learning Movement Patterns,https://link.springer.com/chapter/10.1007/978-3-642-17878-8_16,none,conference,Springer,none,"In Wireless Sensor Networks (WSN), localization system is required in order to provide position information to sensor nodes. The cost and limited energy resource associated with common, mobile nodes prohibits them from carrying relatively expensive devices such as Global Positioning System (GPS). This paper proposes a mechanism that allows non-GPS-equipped nodes in the network to derive their approximated locations from a limited number of GPS-equipped nodes. A Non-GPS equipped node uses Received Signal Strength Indicator (RSSI) to know the position of the node using Hidden Markov Model (HMM). To enhance lifetime, an efficient clustering scheme is used for localizing the nodes of HMM with Random Walk Mobility (RWM) model. Coverage Preserving Clustering Protocol (CPCP) approach is compared with existing LEACH protocol for localization with HMM combined mobility through NS2 simulation. Simulation analysis shows that our cluster localization out performs well with Learning Movement Patterns.",2011,Advances in Networks and Communications,"R. Arthi,K. Murugan","(Ramanujan Computing Centre,Anna University,Chennai,25,Tamilnadu,India)",India
Cluster Head Selection Using Modified ACO,https://link.springer.com/chapter/10.1007/978-81-322-2217-0_2,10,conference,Springer,none,"WSNs have limited computation power, battery life, and memory resources. In this paper, an approach is introduced to selection cluster head by using swarm intelligence. This proposed approach is based on LEACH clustering algorithm. Modified version of ant colony optimization by using residual energy as a parameter is employed over LEACH algorithm for effective cluster head selection. This approach reduces the amount of energy consumption. The proposed technique work in three stages: Cluster members transmit their data directly to their cluster heads, cluster heads transmit their data to leader, and leader transmits data to the base station. The result shows that LEACH-MA algorithm improves the average energy consumption effectively.",25 December 2014,Proceedings of Fourth International Conference on Soft Computing for Problem Solving,"Varsha Gupta,Shashi Kumar Sharma","(Department of Computer Science and Engineering,Graphic Era Hill University,Dehradun,India)",India
Improving the Performance of Hierarchical Clustering Protocols with Network Evolution Model,https://link.springer.com/chapter/10.1007/978-3-319-91192-2_9,none,conference,Springer,none,"In distributed computing, clustering of the nodes is generally used to make the communication process energy-efficient. However, in the mechanics of clustering, the number of clusters increases as the energy of the nodes gets depleted. This dispersive nature of clustering probability leads to the quick death of the nodes. This chapter explains the usage of an optimization matrix from clustering probability as obtained from a network evolution model. The proposed framework of an optimization matrix shows considerable promise in boosting the efficiency of data delivery and network lifetime of the hierarchical clustering protocols in wireless sensor networks.",17 May 2018,Cybernetics and Algorithms in Intelligent Systems,"Chiranjib Patra,Nicolea Botezatu","(Department of Computer Science,Technical University of Iasi,Iasi,Romania)",Romania
A New Chain-Based Data Gathering Protocol for Wireless Sensor Transportation Monitoring Network,https://link.springer.com/chapter/10.1007/978-3-540-37275-2_158,none,conference,Springer,none,"Data gathering is one of the most important processes in wireless sensor networks (WSN). The sensor nodes gather information and send it to a base station, which consumes significant amounts of power. Due to the limited battery life, energy efficiency is becoming a major challenging problem in WSN. Some energy- efficient data gathering protocols are proposed for WSN such as LEACH, PEGASIS, and PEDAP. But these protocols still have some disadvantages and are not fit for our application, wireless sensor transportation monitoring network (WSTMN). So we present a new chain-based data gathering protocol, CBDGP. The minimum total energy algorithm (MTEA) is used to construct the chain. Moreover, the layered minimum total energy chain construction algorithm with delay reducing is presented for CBDGP. The results show that CBDGP works for WSTMN better than LEACH and PEGASIS. It prolongs the lifetime and reduces the delay of WSTMN.",01 January 2010,Computational Intelligence,"Lingyun Yuan,Sufen Li,Yunlong Zhu,Lingyun Yuan","(Shenyang Institute of Automation,Chinese Academy of Sciences,Shenyang,China),(Graduate school of the Chinese Academy of Sciences,Beijing,China)","China,China"
MSECHP: More Stable Election of Cluster Head Protocol for Heterogeneous Wireless Sensor Network,https://link.springer.com/chapter/10.1007/978-981-10-2750-5_7,3,conference,Springer,none,"Wireless networking of few hundreds or thousands of low-priced sensor nodes enables us to monitor a secluded area. By using clustering protocol, we get much accurate results of the sensing field with low transmission costs. In this paper we develop and analyze MSECHP, a heterogeneous aware protocol and effect of applying virtual grid on the sensor network field to evenly divide the entire WSN into the optimal number of clusters. To calculate the probability, of a sensor node to become cluster head three factors are considered. These factors are energy distribution among all the nodes of the same cluster, equal energy distribution among sensor nodes which have different residual energy and distance from the sink node. We show by the result of the simulation, MSECHP provides more stability than other clustering protocols.",08 April 2017,Proceedings of International Conference on Communication and Networks,"Kameshkumar R. Raval,Nilesh Modi","(Som-Lalit Institute of Computer Applications,SLIMS Campus,University Road,Navrangpura,Ahmedabad,Gujarat,380009,India),(Narsinhbhai Institute of Computer Studies and Management,Kadi,North Gujarat,India)","India,India"
Evaluative Aspects of Wireless Sensor Networks Reliability Model: A Case Study,https://link.springer.com/chapter/10.1007/978-981-99-1767-9_8,none,conference,Springer,none,"Reliability (information management) and lifetime (energy management) are the two most important factors for the real-time application of WSNs. The reliability and lifetime must be managed properly as there are on-demand individual networks, subnets, extended networks, and other real-time applications of WSNs. The overall reliability of a wireless sensor network (WSN) depends on its lifetime, which in turn depends on battery-powered nodes, node-sink distances, and traffic near the sink. The referred literature proved that energy efficiency and energy balancing depend upon optimized node-sink distances that are obtained by a proactive heuristic ACO (ant colony optimization) routing algorithm. This algorithm also finds the minimum value of average nodal energy consumption. The efficient and balanced energy paths lead to good packet delivery. The majority of the referred literature uses a programmed random node deployment strategy and a clustered WSN model. This work uses a programmed manual node deployment strategy with uniform and random procedures and a simple sectored network model. The performance comparison results are placed with respect to different strategies such as node deployment planning, different transmission planning, different routing methods, different network sizes, different energy levels, and iterations (rounds). This comparison paves the way for futuristic applications of WSN. The applications include subnets, extended networks, real-time patient monitoring systems, and driverless cars.",02 June 2023,Intelligent Communication Technologies and Virtual Mobile Networks,"D. Lingamaiah,Perumalla Naveen Kumar,D. Krishna Reddy","(Department of ECE,University College of Engineering,Osmania University,Hyderabad,Telangana,India),(Department of ECE,Chaitanya Bharathi Institute of Technology,Hyderabad,Telangana,India)","India,India"
"A Survey on Network Coverage, Data Redundancy, and Energy Optimization in Wireless Sensor Network",https://link.springer.com/chapter/10.1007/978-981-15-1632-0_20,1,conference,Springer,none,"A wireless sensor network is an area which is used to monitor any or certain event occurrence. Each sensor node in WSN has the capability to sense and communicate with each other. Each node has a sensing range which determines the sensing coverage. To cover a particular region for sensing, a large number of sensor nodes are deployed in that region. Sensor nodes work on battery which have limited lifetime. Hence, it is very important to maximize the coverage area and minimize the utilization of the energy consumed by the sensor to ensure a lengthy life. In this paper, we take a survey on the recent work done in WSN in the area of network coverage, data redundancy, and efficient utilization of energy. This paper analyzes various issues and approaches with their limitations.",21 April 2020,"Cybernetics, Cognition and Machine Learning Applications","Asha Rawat,Mukesh Kalla","(Department of Computer Science & Engineering,SPSU,Udaipur,India)",India
Energy Efficient Hierarchical Clustering Routing Protocol for Wireless Sensor Networks,https://link.springer.com/chapter/10.1007/978-3-642-27299-8_43,4,conference,Springer,none,"Advanced technology of Wireless Sensor Networks used in many applications like health, environment, battle field etc. The sensor nodes equipped with limited power sources. Therefore, efficiently utilizing sensor nodes energy can maintain a prolonged network lifetime. One of the major issues in sensor networks is developing an energy-efficient routing protocol to improve the lifetime of the networks. In this paper, we propose EEHCRP (Energy-Efficient Hierarchical Clustering Routing Protocol), a protocol for wireless sensor networks. Network partitioned into annular rings by using various power levels at base station and each ring having various sensor nodes. The mathematical formulae for choosing the cluster head are provided. The model developed is simulated in MATLAB. The results are obtained in terms of three metrics, lifetime of the network, and number of clusters and energy consumption of clusters heads. From the results of simulation, it is observed that the performance of EEHCRP is better in terms of energy consumption of CH, number of clusters and lifetime of network compared with LEACH.",2012,Advances in Computer Science and Information Technology. Networks and Communications,"Diwakar Meenakshi,Sushil Kumar","(School of Computer and Systems Sciences,Jawaharlal Nehru University,New Delhi,India)",India
Energy Efficient Clustering for Wireless Sensor Networks: A Gravitational Search Algorithm,https://link.springer.com/chapter/10.1007/978-3-319-48959-9_22,4,conference,Springer,none,"Clustering is an efficient technique for saving energy of wireless sensor networks (WSNs). In this paper, a Gravitational Search Algorithm (GSA) based approach has been presented called GSA-EEC (GSA based Energy Efficient Clustering). The algorithm is designed with an efficient encoding scheme of an and a new fitness function. For the efficient design of WSNs. we consider the Euclidian distance from the sensors to gateways and gateways to sink and residual energy of gateways. The GSA-EEC is simulated extensively with varying number of sensor and gateways and various scenarios of WSNs. To show the efficacy of the GSA-EEC, we compared with some of the benchmark clustering algorithms.",01 December 2016,"Swarm, Evolutionary, and Memetic Computing","P. C. Srinivasa Rao,Haider Banka,Prasanta K. Jana","(Department of Computer Science and Engineering,Indian Institute of Technology (ISM),Dhanbad,826004,India)",India
