title,link,number_of_citation,article_type,publisher,keyword,abstract,publish_date,publication_title,authors,affiliations,countries
MW-LEACH: Low energy adaptive clustering hierarchy approach for WSN,https://onlinelibrary.wiley.com/doi/10.1049/iet-wss.2019.0195,31,Research Article,Wiley,"fault tolerance,wireless sensor networks,routing protocols,telecommunication power management,energy consumption,MW-LEACH,multiple weight low energy adaptive clustering hierarchy protocol,wireless sensor networks,cluster heads,member nodes,residual energy,base station,energy consumption,WSN,packet delivery,network lifetime,fault tolerance","The authors propose a novel multiple weight low energy adaptive clustering hierarchy (MW-LEACH) protocol for wireless sensor networks. In MW-LEACH, they select the cluster heads (CHs) based on the residual energy, the distances between the CHs, and an optimal number of member nodes. The nodes are selected from the initial set based on the high residual energy closer to the centre of the density, thus forming an initial set of CH candidates. The candidates then move in different directions to collect data from their members sending it to the base station. The proposed approach has lower complexity in terms of time and message. It is also fast and offers a longer lifetime for the network. It also provides a proper level of fault tolerance. In the experimental simulation evaluation, their approach outperforms state-of-the-art protocols based on performance metrics of throughput, energy consumption, packet delivery, network lifetime, and latency.",03 April 2020,IET Wireless Sensor Systems,"Salim El Khediri,Rehan Ullah Khan,Nejah Nasri,Abdennaceur Kachouri,","(Information Technology DepartmentCollege of Computer, Qassim UniversityBuraidahKingdom of Saudi Arabia),(Intelligent Analytics Group (IAG), Information Technology DepartmentCollege of Computer, Qassim UniversityKingdom of Saudi Arabia),(Information Technology DepartmentCollege of Computer, Qassim UniversityBuraidahKingdom of Saudi Arabia),(Intelligent Analytics Group (IAG), Information Technology DepartmentCollege of Computer, Qassim UniversityKingdom of Saudi Arabia),","Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia"
Fault tolerance in WSN through PE-LEACH protocol,https://onlinelibrary.wiley.com/doi/10.1049/iet-wss.2018.5229,38,Research Article,Wiley,"leaching,wireless sensor networks,pattern clustering,fault tolerance,fault tolerance,clustering method,proven technique,clustering technique,seminal low energy adaptive clustering hierarchy,fault handling,LEACH variant clustering convention,energy-efficient – LEACH protocol,energy-based fault-tolerant technique,LEACH variants,E-LEACH,PE-LEACH outperforms,ESO-LEACH,PE-LEACH protocol,wireless sensor network,WSN life-cycle","The fault is inevitable in case of the wireless sensor network (WSN) because of its remote deployment and constrained architecture. In literature, many algorithms have been proposed to address several types of fault in the WSN life-cycle. In the context of fault tolerance, the clustering method has been adopted as a proven technique. Heintzelman et al. first considered the clustering technique and proposed the seminal low energy adaptive clustering hierarchy (LEACH) algorithm for fault handling in WSN. In this study, the authors propose a LEACH variant clustering convention called partitioned-based energy-efficient – LEACH (PE-LEACH) protocol which tends to the energy-based fault-tolerant technique. They also study and present a taxonomy on LEACH variants. The execution of PE-LEACH is analysed against its predecessors; hard-computing based LEACH, energy-efficient LEACH (E-LEACH) convention and soft-computing-based energy-swarm-optimisation LEACH (ESO-LEACH). They have found through their recreation that PE-LEACH outperforms than LEACH and E-LEACH separately whereas, for ESO-LEACH the PE-LEACH is a tough competitor.",01 December 2019,IET Wireless Sensor Systems,"Hitesh Mohapatra,Amiya Kumar Rath,","(Computer Science and EngineeringVeer Surendra Sai University of TechnologyBurlaOD768018India),(Computer Science and EngineeringVeer Surendra Sai University of TechnologyBurlaOD768018India),","India,India,India"
Energy-efficient modified LEACH protocol for IoT application,https://onlinelibrary.wiley.com/doi/10.1049/iet-wss.2017.0099,140,Research Article,Wiley,"wireless sensor networks,energy conservation,Internet of Things,access protocols,telecommunication power management,battery power,energy consumption,hierarchical clustering algorithm,cluster head selection,energy efficient protocols,IoT application,wireless sensor networks,WSN,low-energy adaptive clustering hierarchy,LEACH protocol,Internet of Things,network lifetime","Wireless sensor networks (WSNs) have a wide range of applications in various fields. One of the most recent emerging applications are in the world of Internet of Things (IoT), which allows inter-connection of different objects or devices through the Internet. However, limited battery power is the major concern of WSNs as compared to mobile ad-hoc network, which affects the longevity of the network. Hence, a lot of research has been focused on to minimise the energy consumption of the WSNs. Designing of a hierarchical clustering algorithm is one of the numerous approaches to minimise the energy of the WSNs. In this study, the existing low-energy adaptive clustering hierarchy (LEACH) clustering protocol is modified by introducing a threshold limit for cluster head selection with simultaneously switching the power level between the nodes. The proposed modified LEACH protocol outperforms as compared to the existing LEACH protocol with 67% rise in throughput and extending the number of alive nodes to 1750 rounds which can be used to enhance the WSN lifetime. When compared with other energy efficient protocols, it is found that the proposed algorithm performs better in terms of stability period and network lifetime in different scenarios of area, energy and node density.",01 October 2018,IET Wireless Sensor Systems,"Trupti Mayee Behera,Umesh Chandra Samal,Sushanta Kumar Mohapatra,","(School of Electronics Engineering, KIIT UniversityBhubaneswarOdishaIndia),(School of Electronics Engineering, KIIT UniversityBhubaneswarOdishaIndia),(School of Electronics Engineering, KIIT UniversityBhubaneswarOdishaIndia),","India,India,India"
ETH-LEACH: An energy enhanced threshold routing protocol for WSNs,https://onlinelibrary.wiley.com/doi/10.1002/dac.4881,15,RESEARCH ARTICLE,Wiley,"clustering,energy consumption,network lifetime,node ranking,wireless sensor network","Many wireless sensor-based applications use LEACH as a preferred routing protocol owing to its unique features such as optimal sleeping time, minimum packet collisions, dynamic channel selection, and least power consumption. The traditional LEACH protocol wastes the transmission opportunities as it processes data only in an event occurring, leading to wastage of resources. To resolve this issue, this paper proposes a more robust Energy Enhanced Threshold Routing Protocol (ETH-LEACH) for WSNs. The working of ETH-LEACH is conceptualized in two parts. In the first part, TDMA is implemented to estimate the opportunistic paths to remove network overhead. Furthermore, in the second part, a threshold value is calculated for choosing the forwarder nodes. The proposed technique minimizes the energy usage of the sensor nodes and consequently enhances the network's lifetime by extending the duration of node death. The ETH-LEACH protocol is contrasted with the different variants of LEACH to verify its effectiveness. The experimental results show that the proposed ETH-LEACH protocol outperforms the traditional routing protocols. In this paper, the ETH-LEACH protocol performs nearly 54.6% efficient than LEACH, 47.6% efficient than Q-LEACH, 41.3% efficient than NR-LEACH, 33.6% efficient than LEACH-GA, and 29.7% efficient than LEACH-POS in reducing the usage of energy in the overall simulation.",27 May 2021,International Journal of Communication Systems,"Prem Kumar Chithaluru,Mohammad S Khan,Manoj Kumar,Thompson Stephan,","(Department of Computer Science and Engineering Chaitanya Bharathi Institute of Technology Hyderabad Telangana India),(Department of Systemics, School of Computer Science University of Petroleum and Energy Studies (UPES), Bidholi Dehradun 248007 India),(Department of Computing East Tennessee State University Johnson City Tennessee 37614-1266 USA),(Department of Systemics, School of Computer Science University of Petroleum and Energy Studies (UPES), Bidholi Dehradun 248007 India),","India,India,India,India"
Energy optimized artificial hummingbird algorithm for routing in IoT-based software-defined WSN,https://onlinelibrary.wiley.com/doi/10.1002/dac.5748,none,RESEARCH ARTICLE,Wiley,"AHA,EOAHA,IoT,residual energy,SD-WSN,WSN","The Internet of Things (IoT) has become widely used in applications such as smart homes, industrial automation, and transportation due to its affordable hardware and fast internet connectivity. However, the increase in IoT-enabled gadgets, particularly those running on batteries or connected to other sources, is putting strain on the world's energy requirements. Therefore, this study focuses on a green routing solution for battery-powered IoT-enabled Software-defined Wireless Sensor Networks (IoT-SDWSN). Finding green solutions for IoT-based networks to address this energy challenge has become crucial. This study focuses on developing a green routing solution for battery-powered IoT-SDWSN. Energy efficiency in IoT-SDWSN is attained by the process of clustering nodes. The network is partitioned into small clusters, and a Control Node (CN) is set up by a Control Server (CS) to transmit the data packets sent by sensor nodes. Choosing a CN in these networks is a critical concern due to the substantial energy consumption involved in delivering data to the CS. This research focuses on the problem of energy-efficient cluster routing in IoT-based SD-WSN. It introduces the Energy-optimized Artificial Hummingbird Algorithm (EOAHA) as a green routing technique. EOAHA aims to extend the lifespan of IoT-based SD-WSNs by intelligently selecting (based on a new fitness function) CNs to distribute the network load and increase its overall longevity. To evaluate the performance of EOAHA, a comparative analysis is conducted against other state-of-the-art algorithms. The results demonstrate that EOAHA outperforms these algorithms by a minimum of 13.5% in terms of network longevity.",15 March 2024,International Journal of Communication Systems,"Rohit Beniwal,Nitesh Kumar,","(Department of Computer Science and Engineering Delhi Technological University Delhi India),(Department of Computer Science and Engineering Delhi Technological University Delhi India),","India,India,India"
A fuzzy multicriteria decision-making-based CH selection and hybrid routing protocol for WSN,https://onlinelibrary.wiley.com/doi/10.1002/dac.4536,17,RESEARCH ARTICLE,Wiley,"clustering,energy,GIFSs,routing protocol,WSN","One of the famous approaches to decision making is named as multicriteria decision making (MCDM). In order to solve the MCDM issues, a better way is provided by the fuzzy logic. Expendability, cost, maintenance, availability of software, and performance characteristics are such problems considered by the decision. The precise estimation of the pertinent data is one of the vital phases in DM systems. This paper presents a fuzzy MCDM-based cluster head (CH) selection and hybrid routing protocol to solve the most common issues. In this research article, the generalized intuitionistic fuzzy soft set (GIFSS) approach is utilized to select the optimal CH, and hybrid shark smell optimization (SSO), and a genetic algorithm (GA) is introduced for the effective routing. Initially, the wireless sensor network (WSN) system and energy models are designed, and then the nodes are grouped into several clusters. Next, based on the GIFSS, the CH nodes are selected, and finally, an effective routing is placed based on the hybrid optimizations. The implementation is performed on the NS2 platform, and the performances are evaluated by packet delivery ratio (PDR), delay, packet loss ratio (PLR), network lifetime, bit error rate (BER), energy consumption, throughput, and jitter. The existing approaches named energy centers examining using particle swarm optimization (EC-PSO), variable dimension-based PSO (VD-PSO), energy-efficient PSO-based CH selection (PSO-ECHS), low-energy adaptive clustering hierarchy-sugeno fuzzy (LEACH-SF), SSO, and GA are compared with the proposed strategy. According to the implemented outcomes, it displays the proposed strategy and gives improved outcomes than the others.",21 July 2020,International Journal of Communication Systems,"Panchikattil Susheelkumar Sreedharan,Dnyandeo Jageshwar Pete,","(Department of Electronics Engineering Datta Meghe College of Engineering Mumbai India),(Department of Electronics Engineering Datta Meghe College of Engineering Mumbai India),","India,India,India"
An opportunistic energy-efficient dynamic self-configuration clustering algorithm in WSN-based IoT networks,https://onlinelibrary.wiley.com/doi/10.1002/dac.5633,2,RESEARCH ARTICLE,Wiley,"energy-efficient,IoT,mobility,PDR,self-configuration,WSN","The demand for the Internet of Things (IoT) has significantly increased in the current scenario; specific sectors that require IoT include industrial automation, home control, health care applications, military and surveillance applications, habitat monitoring, and nanoscopic sensor applications. The use of optimal wireless sensor networks (WSNs) in transmission techniques has resulted in their involvement. A WSN is made up of thousands of randomly distributed sensor nodes that sense and transmit environmental data such as temperature, pressure, humidity, light, and sound. One of the most important requirements when using these sensor nodes is energy. As a result, it has become a major area of research in recent years; additionally, several design techniques and protocols have been presented in the last decade, particularly for IoT-based applications. As a result, the systemization of an energy-optimized WSN in dynamic functional conditions with automatic self-configuration of sensor nodes is a critical goal. This paper proposed an opportunistic energy-efficient dynamic self-configuration routing (OEDSR) algorithm for IoT-based applications. Initially, the optimal route to the base station (BS) is calculated by using the residual energy and mobility factor of the sensor nodes obtained through a routing tree model based on graph theory. To reduce the number of connections, an optimal path is determined based on dynamic cluster generation through a hierarchical tree architecture. Finally, the network-related parameters, such as throughput, delay and packet delivery ratio (PDR), are compared with the peer existing routing protocols to depict the efficiency of the OEDSR protocol.",22 September 2023,International Journal of Communication Systems,"Sridevi Tumula,Y. Ramadevi,E. Padmalatha,G. Kiran Kumar,M. Venu Gopalachari,Laith Abualigah,Premkumar Chithaluru,Manoj Kumar,","(Department of Computer Science and Engineering Chaitanya Bharathi Institute of Technology Hyderabad India),(Department of AIML Chaitanya Bharathi Institute of Technology Hyderabad India),(Department of Computer Science and Engineering Chaitanya Bharathi Institute of Technology Hyderabad India),(Department of Computer Science and Engineering Chaitanya Bharathi Institute of Technology Hyderabad India),(Department of Information Technology Chaitanya Bharathi Institute of Technology Hyderabad India),(Computer Science Department Al al-Bayt University Mafraq Jordan),(Department of Electrical and Computer Engineering Lebanese American University Byblos Lebanon),(Hourani Center for Applied Scientific Research Al-Ahliyya Amman University Amman Jordan),","India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,Jordan,Jordan,Jordan,Jordan,Lebanon,Lebanon"
An improved energy-low clustering hierarchy protocol based on ensemble algorithm,https://onlinelibrary.wiley.com/doi/10.1002/cpe.5575,11,RESEARCH ARTICLE,Wiley,"bacterial foraging optimization (BFO),cuckoo search algorithm (CS),ensemble algorithm,glowworm swarm optimization (GSO),LEACH,WSN","LEACH (low-energy adaptive clustering hierarchy) protocol is an important part of wireless sensor network (WSN) and consisting of a good deal of energy-constrained nodes. LEACH is widely used but also faces various challenges and constraints. The biggest constraint is that the energy is limited and the network life is finite. In the article, an improved ensemble algorithm based on energy-efficient LEACH is proposed. The ensemble algorithm benefits from the cuckoo search algorithm (CS), glowworm swarm optimization (GSO), and bacterial foraging optimization (BFO). The paper enhances local and global search capabilities by modify the CS GSO and BFO algorithm. To verify results, this paper performs statistical comparatives with oriented cuckoo search (OCS), bat algorithm with characteristics of Levy flights, particle swarm optimization, and adaptive differential evolution algorithm. Comparison results shows that the new method is effective. Moreover, the research also showed the universal applicability of the ensemble strategy in solving diverse problems by using above different optimization algorithms. To further exploit our mind, this paper applies the improved coupling algorithm to LEACH for selecting the cluster-head node. Computational experiments illustrate that the method proposed in this paper can provide very competitive results compared to these bio-inspired LEACH, both in terms of reducing the network energy consumption and improving the lifecycle of nodes.",15 November 2019,Concurrency and Computation: Practice and Experience,"Penghua Xie,Ming Lv,Juanjuan Zhao,","(Shanxi Key Laboratory of Precision Machining Taiyuan University of Technology Taiyuan China),(Shanxi Key Laboratory of Precision Machining Taiyuan University of Technology Taiyuan China),(College of Information and Computer Taiyuan University of Technology Taiyuan China),","China,China,China,China,China,China"
Energy-efficient multihop routing in WSN using the hybrid optimization algorithm,https://onlinelibrary.wiley.com/doi/10.1002/dac.4440,14,RESEARCH ARTICLE,Wiley,"energy efficiency,LEACH protocol,multihop routing,optimization,WSNs","The technical growth in the field of the wireless sensor networks (WSNs) has resulted in the process of collecting and forwarding the massive data between the nodes, which was a major challenge to the WSNs as it is associated with greater energy loss and delay. This resulted in the establishment of a routing protocol for the optimal selection of the multipath to progress the routing in WSNs. This paper proposes an energy-efficient routing in WSNs using the hybrid optimization algorithm, cat–salp swarm algorithm (C-SSA), which chooses the optimal hops in progressing the routing. Initially, the cluster heads (CHs) are selected using the low-energy adaptive clustering hierarchy (LEACH) protocol that minimizes the traffic in the network. The CHs are engaged in the multihop routing, and the selection of the optimal paths is based on the proposed hybrid optimization, which chooses the optimal hops based on the energy constraints, such as energy, delay, intercluster distance, intracluster distance, link lifetime, delay, and distance. The simulation results prove that the proposed routing protocol acquired minimal delay of 0.3165 with 50 nodes and two hops, maximal energy of 0.1521 with 50 nodes and three hops, maximal number of the alive nodes as 39 with 100 nodes and two hops, and average throughput of 0.9379 with 100 nodes and three hops.",25 May 2020,International Journal of Communication Systems,"Aljapur Vinitha,Mulpuri Santhi Sri Rukmini,Dhiraj Sunehra,","(Department of Electronics and Communication Engineering Kshatriya College of Engineering Armoor India),(Department of Electronics and Communication Engineering Vignan's University Guntur India),(Department of Electronics and Communication Engineering JNTU Jagityal India),","India,India,India,India,India,India"
Genetic spider monkey-based routing protocol to increase the lifetime of the network and energy management in WSN,https://onlinelibrary.wiley.com/doi/10.1002/dac.4525,15,RESEARCH ARTICLE,Wiley,"energy efficiency,network lifetime,spider monkey optimization,WSN","Wireless sensor networks (WSNs) include large distributed nodes in the sensing field. However, the sensor nodes may die due to energy deficiency as they are situated in a hostile environment. Therefore, an energy-efficient WSN routing protocol is necessary in order to better accommodate the various environmental conditions. In this paper, we have proposed a new Energy-Efficient Genetic Spider Monkey-based Routing Protocol (EGSMRP) to improve the stability and lifetime of sensor nodes. The operation of EGSMRP is classified into two stages: (i) setup phase and (ii) steady-state phase. In the setup phase, GSMO-based cluster head selection procedure is done. In this phase, the base station utilizes the GSMO algorithm as a device to generate energy-efficient clusters. Followed with this, the steady-state phase solves the load balancing issue by utilizing the intracluster data broadcast and dual-hop intercluster broadcasting algorithm. Thereby, the proposed EGSMRP protocol has shown the energy-based opportunistic broadcasting with reduced control overhead. Simulation is performed in various conditions to evaluate the effectiveness of the proposed EGSMRP protocol using different metrics such as throughput, control overhead, energy consumption, end-to-end delay, and network lifetime. From the simulation results, it was evident that EGSMRP has achieved a higher performance compared to other traditional approaches such as EBAR, MCTRP, IEEMARP, HMCEER, and EFTETRP.",07 July 2020,International Journal of Communication Systems,"Jothi Soundaram,Chandrasekar Arumugam,","(Department of Computer Science and Engineering St. Joseph's College of Engineering Anna University Chennai India),(Department of Computer Science and Engineering St. Joseph's College of Engineering Anna University Chennai India),","India,India,India"
